"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         154,      -4.030118726,      -4.134776633,      -4.505510566,      -4.377833048,      -3.582104654,      -8.350924244
          0,           0,         155,      -3.742262482,      -4.168184872,      -4.496394555,      -4.086017277,        -3.2903776,      -8.363501347
          0,           0,         156,      -3.978298249,      -4.236560789,      -4.520667036,      -4.127987106,      -3.521765479,      -8.386186496
          0,           0,         157,      -3.860540978,      -4.243453422,      -4.543399681,       -4.06694209,      -3.406898975,      -8.386085884
          0,           0,         158,      -3.722491992,      -4.196659076,      -4.554286245,      -4.081999269,       -3.26774765,      -8.394045498
          0,           0,         159,      -3.629990171,       -4.01994645,      -4.304628052,      -4.102613253,      -3.175089581,      -8.355166593
          0,           0,         160,      -3.707110034,      -4.072271058,      -4.510353726,      -3.992314651,      -3.242969452,      -8.346386257
          0,           0,         161,      -3.754834072,      -4.016328541,      -4.415744371,      -3.994669235,       -3.29200749,      -8.388071448
          0,           0,         162,      -3.715858877,       -3.97410662,      -4.321527302,      -4.028053305,      -3.252662404,      -8.447144318
          0,           0,         163,       -3.81740925,      -4.026994312,      -4.404279193,      -3.954680747,      -3.359800546,      -8.501237975
          0,           0,         164,      -3.994220849,       -4.08042571,      -4.465468002,      -4.032323634,      -3.539985529,       -8.56700586
          0,           0,         165,      -3.960888395,      -4.140357932,      -4.505936315,       -4.08352141,      -3.510140403,      -8.628889568
          0,           0,         166,      -4.139138181,      -4.194677262,      -4.522967923,      -4.123936616,      -3.678591932,      -8.561971069
          0,           0,         167,      -4.262339302,       -4.24457312,      -4.497382811,      -4.185895701,       -3.81516613,      -8.546234913
          0,           0,         168,      -4.323321699,      -4.296954204,      -4.523727454,      -4.242142515,      -3.858166486,      -8.562640936
          0,           0,         169,       -4.27292256,      -4.275541834,      -4.578869321,       -4.29950103,      -3.806743129,      -8.593408484
          0,           0,         170,      -4.285354185,      -4.232432094,      -4.595088168,      -4.437545588,      -3.821728224,      -8.662375354
          0,           0,         171,        -4.3051445,       -4.22466991,      -4.613895457,      -4.449297956,      -3.859739958,       -8.75940401
          0,           0,         172,      -4.274334068,      -4.260950562,      -4.612685051,       -4.35505236,      -3.842964833,      -8.805751356
          0,           0,         173,      -4.378225953,      -4.311049387,      -4.606516445,      -4.302150691,        -3.9502649,      -8.816545678
          0,           0,         174,      -4.390833632,      -4.360082683,      -4.593180909,      -4.579892761,      -3.954654867,      -8.827852474
          0,           0,         175,      -4.491134498,      -4.375103904,      -4.616483751,       -4.60189904,      -4.020454467,      -8.868780315
          0,           0,         176,      -4.476600763,      -4.377088941,      -4.624386898,      -4.594568683,      -4.009740532,      -8.849911804
          0,           0,         177,      -4.342085029,      -4.378903302,      -4.663551989,      -4.457932325,      -3.868392472,      -8.803722538
          0,           0,         178,        -4.1332941,      -4.364816514,      -4.681939553,      -4.443223543,      -3.665303752,      -8.791247013
          0,           0,         179,      -4.367511652,      -4.347239466,       -4.64290545,      -4.541450186,      -3.901797948,      -8.826537258
          0,           0,         180,      -4.453793712,      -4.357176868,       -4.65128152,      -4.605138851,      -4.020743655,      -8.895326467
          0,           0,         181,      -4.350083172,      -4.386393331,       -4.66924473,      -4.540925567,      -3.925849337,      -8.898100615
          0,           0,         182,      -4.359501684,      -4.409256015,       -4.66766754,      -4.627079622,      -3.932719095,      -8.892917991
          0,           0,         183,      -4.577336477,       -4.41695791,      -4.675489868,      -4.593582078,      -4.135143819,      -8.858236487
          0,           0,         184,      -4.630454347,      -4.434984591,      -4.694136835,      -4.692910487,      -4.156880543,      -8.847384663
          0,           0,         185,      -4.752736384,      -4.448065575,      -4.697901294,      -4.846856281,      -4.343240655,      -8.832726561
          0,           0,         186,      -4.579341356,      -4.443912383,      -4.699540505,      -4.816687916,      -4.167676941,      -8.804458982
          0,           0,         187,      -4.663081403,      -4.442291601,      -4.699633801,       -4.78707828,      -4.238746173,      -8.755864881
          0,           0,         188,      -4.657971468,      -4.435262011,      -4.696562884,      -4.735980964,       -4.22159873,      -8.720980343
          0,           0,         189,      -4.622092922,      -4.423876746,      -4.698237252,       -4.70842304,      -4.177448848,      -8.695790349
          0,           0,         190,       -4.58482909,      -4.407987021,      -4.693086235,      -4.684985918,      -4.130705978,      -8.676630449
          0,           0,         191,      -4.524406705,      -4.399689555,      -4.690673178,      -4.657902493,      -4.063106569,      -8.662620837
          0,           0,         192,      -4.493903341,      -4.399934512,      -4.696601538,      -4.601517445,      -4.033046846,      -8.663820924
          0,           0,         193,      -4.521306513,      -4.395448974,       -4.69415689,      -4.499543919,      -4.101310709,        -8.6752687
          0,           0,         194,      -4.454023206,      -4.401033654,      -4.688646528,      -4.520140637,      -4.038906431,      -8.675200049
          0,           0,         195,      -4.577353256,      -4.390825495,      -4.672265407,      -4.643410597,      -4.166159587,      -8.669145333
          0,           0,         196,      -4.610268677,      -4.383699172,      -4.677813748,      -4.684471677,      -4.166103329,      -8.652412533
