"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
25, 2.000000000000000e+01, 0.000000000000000e+00, 9.929279965704921e-01, 1.747640614917222e+00, -1.921763683802218e-04, 4.038792745992488e+00, 1.000316848955108e+00, 1.007441478546416e+00, 1.482041769254335e+00, 2.011739397508123e-04
26, 1.984229087829600e+01, 2.506659984589000e+00, 9.955519561967332e-01, 1.758219177101580e+00, -9.298941922298783e-04, 4.052468278162901e+00, 9.999578370746478e-01, 1.004425565989289e+00, 1.489313911688788e+00, -2.677011133472764e-05
27, 1.937166023254400e+01, 4.973800182343000e+00, 1.000060875137930e+00, 1.773649888258382e+00, 5.204433752560297e-04, 4.074598379347059e+00, 1.000710810629484e+00, 1.000649895929050e+00, 1.498429734633562e+00, 4.513083361800173e-04
28, 1.859552955627400e+01, 7.362490177155000e+00, 1.000500692723240e+00, 1.775628232309936e+00, 3.530879413718984e-04, 4.076998324292284e+00, 1.000543745292376e+00, 1.000043031023815e+00, 1.499896510902557e+00, 3.452351062701923e-04
29, 1.752613067627000e+01, 9.635069847106999e+00, 9.964727937210428e-01, 1.770626214777628e+00, -3.047633775264049e-03, 4.061670674682526e+00, 9.954234976555683e-01, 9.989469897501605e-01, 1.502542787745913e+00, -2.905715774242378e-03
30, 1.618033981323200e+01, 1.175570964813200e+01, 1.000516809238624e+00, 1.775182723546760e+00, 2.048161852765767e-03, 4.076814167498589e+00, 1.000795641267247e+00, 1.000278688000090e+00, 1.499320353009130e+00, 5.051690585694988e-04
31, 1.457936954498300e+01, 1.369093990325900e+01, 1.012004615622486e+00, 1.787081174666473e+00, 1.331596483215957e-02, 4.119375913693505e+00, 1.016560271981202e+00, 1.004501616186715e+00, 1.489136486622407e+00, 1.051445840076298e-02
32, 1.274847984314000e+01, 1.541026973724400e+01, 1.011136336548356e+00, 1.785385605839474e+00, 1.138163389159370e-02, 4.115979934576677e+00, 1.015867446542775e+00, 1.004679003041835e+00, 1.488858604395182e+00, 1.007456923350826e-02
33, 1.071654033660900e+01, 1.688656044006300e+01, 1.001752347926931e+00, 1.776332446314267e+00, 1.569642603922759e-03, 4.081416577679929e+00, 1.002598669402290e+00, 1.000844841019949e+00, 1.498016696457491e+00, 1.649948826850745e-03
34, 8.515589714050000e+00, 1.809654045105000e+01, 9.987163659545489e-01, 1.773869036014836e+00, -1.556110191355683e-03, 4.070247361734070e+00, 9.979673306184589e-01, 9.992500019408673e-01, 1.501683664804502e+00, -1.290583734311822e-03
35, 6.180339813232000e+00, 1.902112960815400e+01, 9.998716625125317e-01, 1.774832782096274e+00, -2.509260168465173e-04, 4.074617793860100e+00, 9.997599602678956e-01, 9.998882834179385e-01, 1.500283829744908e+00, -1.524061791139063e-04
36, 3.747629880905000e+00, 1.964575004577600e+01, 1.000108448204957e+00, 1.774781813447855e+00, 2.540890385488490e-04, 4.075346912342423e+00, 1.000236966674990e+00, 1.000128504533948e+00, 1.499705409036220e+00, 1.504550317399379e-04
37, 1.255810022354000e+00, 1.996052932739300e+01, 1.000046525313902e+00, 1.774933196960212e+00, -6.776519325659172e-05, 4.075194493188615e+00, 1.000029538815740e+00, 9.999830142921032e-01, 1.500035294977635e+00, 1.875480364421469e-05
38, -1.255810022354000e+00, 1.996052932739300e+01, 9.999757751864211e-01, 1.774779143036723e+00, -6.211503524927252e-06, 4.074899155501244e+00, 9.999761996492099e-01, 1.000000424473072e+00, 1.499998162779298e+00, -1.511133383497265e-05
39, -3.747629880905000e+00, 1.964574050903300e+01, 1.000007493355360e+00, 1.774837058973558e+00, 5.082549744308776e-06, 4.075032198029922e+00, 1.000008282873939e+00, 1.000000789512662e+00, 1.499999259681482e+00, 5.258967580143042e-06
40, -6.180339813232000e+00, 1.902112960815400e+01, 9.999989196124401e-01, 1.774821484828727e+00, -6.597534501176020e-07, 4.074994511371568e+00, 9.999988633035912e-01, 9.999999436910902e-01, 1.499999592099211e+00, -7.217120055724903e-07
41, -8.515589714050000e+00, 1.809654045105000e+01, 9.999989373619980e-01, 1.774822032062084e+00, -5.249060835849310e-07, 4.074995490698930e+00, 9.999988777197022e-01, 9.999999403576408e-01, 1.500000030472007e+00, -7.125589192412916e-07
42, -1.071654033660900e+01, 1.688656044006300e+01, 1.000000458618424e+00, 1.774824768279098e+00, 4.222771803674544e-07, 4.075001978549903e+00, 1.000000488730280e+00, 1.000000030111842e+00, 1.499999993797150e+00, 3.103049399796315e-07
43, -1.274847984314000e+01, 1.541026020050000e+01, 9.999999356654409e-01, 1.774823671820325e+00, -9.638404581210809e-08, 4.074999653645932e+00, 1.000000007716852e+00, 1.000000072051415e+00, 1.499999820095115e+00, 4.899588318837220e-09
44, -1.457936954498300e+01, 1.369093990325900e+01, 1.000000027054765e+00, 1.774824019653542e+00, 5.311637932089416e-08, 4.075000129631186e+00, 1.000000008749146e+00, 9.999999816943811e-01, 1.500000044751626e+00, 5.555013239523358e-09
45, -1.618033981323200e+01, 1.175570011138900e+01, 9.999999600439446e-01, 1.774823862839901e+00, -2.410023278095249e-08, 4.074999836344833e+00, 9.999999605444293e-01, 1.000000000500485e+00, 1.499999998631563e+00, -2.505115599968841e-08
46, -1.752613067627000e+01, 9.635069847106999e+00, 1.000000014953168e+00, 1.774823958408384e+00, 5.871662269812736e-09, 4.075000059421304e+00, 1.000000016520936e+00, 1.000000001567768e+00, 1.499999996237375e+00, 1.048948328549693e-08
47, -1.859552955627400e+01, 7.362490177155000e+00, 1.000000001052997e+00, 1.774823932529082e+00, -2.802696364964457e-09, 4.075000002119700e+00, 1.000000003215669e+00, 1.000000002162672e+00, 1.499999994769452e+00, 2.041694362076901e-09
48, -1.937166023254400e+01, 4.973800182343000e+00, 1.000000002026074e+00, 1.774823939933582e+00, 1.546366251046104e-09, 4.075000008976767e+00, 1.000000001314861e+00, 9.999999992887867e-01, 1.500000001723194e+00, 8.348324500831145e-10
49, -1.984229087829600e+01, 2.506659984589000e+00, 1.000000002087243e+00, 1.774823941542975e+00, -2.637999778498743e-09, 4.075000009985540e+00, 1.000000000614350e+00, 9.999999985271072e-01, 1.500000003562887e+00, 3.900635722709288e-10
50, 0.000000000000000e+00, 0.000000000000000e+00, 2.332690116884325e+00, -9.166021405627323e-06, 3.589551672913975e-02, 8.456080582479595e+00, 3.382321760692414e+00, 1.449966172622208e+00, 1.080040947897681e-02, 1.512585244884073e+00
51, 5.999999800000000e-05, 1.375329724321098e-03, 2.350878560516234e+00, 4.298508089228798e-02, 3.192746081161248e-01, 8.528241481364477e+00, 3.402467213239678e+00, 1.447317301023207e+00, 9.626958441217627e-02, 1.525376008406145e+00
52, 5.600000150000000e-04, 4.173159738460802e-03, 2.312851846279762e+00, 1.889887184429572e-01, 6.977966730433609e-01, 8.416369482560500e+00, 3.321353637293925e+00, 1.436042538840672e+00, 2.204471881510671e-01, 1.473875325265985e+00
53, 1.560000004000000e-03, 6.917517506923035e-03, 2.207827742164059e+00, 4.504687545511287e-01, 9.831913749524150e-01, 8.079053530620651e+00, 3.125672260847411e+00, 1.415722885057918e+00, 3.479349104213981e-01, 1.349633181490421e+00
54, 3.049999941000000e-03, 9.605565346412577e-03, 2.112983744904001e+00, 7.442032816703330e-01, 1.142595636316326e+00, 7.785276143320860e+00, 2.938116362053135e+00, 1.390505899129207e+00, 4.625253463773692e-01, 1.230550071144848e+00
55, 5.040000193000000e-03, 1.226032473458219e-02, 2.008487943112020e+00, 1.012787511263790e+00, 1.192342246730847e+00, 7.454845629227206e+00, 2.738230682053302e+00, 1.363329409790030e+00, 5.637940360235635e-01, 1.103638528287811e+00
56, 7.519999985000000e-03, 1.486756313872443e-02, 1.911979307782267e+00, 1.235308090465285e+00, 1.171635054261156e+00, 7.147507936742983e+00, 2.555787050239780e+00, 1.336723174689728e+00, 6.509307647194204e-01, 9.878013017395433e-01
