"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
5048, 6.563460054683604e-01, -5.395741668387148e-02, 4.943803104325347e-04, 2.138930676696680e-02, 2.727560405894051e-03, 1.071984368625847e+02, 4.269128390891930e+01, 3.008211696249797e+02, 1.254397543302675e-01, -1.052467077308155e-01, 1.849799222559796e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5049, 6.684096059606706e-01, -5.701473240355445e-02, 4.960885402780053e-04, 2.926267333367310e-02, 3.076935986267376e-03, 1.077989762643827e+02, 4.277055136640439e+01, 3.003419521992148e+02, 1.707204805048340e-01, -9.483206988734132e-02, 1.847533829655238e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5050, 7.793625901825960e-01, -3.125841716316049e-02, 5.014490539377719e-04, 2.072643916664346e-03, 2.734334354169560e-04, 1.088754299452426e+02, 4.354842878260606e+01, 3.025352747232214e+02, 1.195660235715452e-02, 7.370168375203151e-03, 1.857887910106807e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5051, 7.923284244919533e-01, -2.981562938850223e-02, 5.015215433026577e-04, 2.080842832482305e-03, 2.721902698618052e-04, 1.088949406827102e+02, 4.355622001974047e+01, 3.025456652892627e+02, 1.200022737358699e-02, 8.393828218497516e-03, 1.857936873889229e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5052, 7.389316635354171e-01, -3.635112157598377e-02, 4.997849638164936e-04, 1.788677430258787e-03, 4.693984094283239e-04, 1.084586152579251e+02, 4.338207763390270e+01, 3.023830939685732e+02, 1.061410391139282e-02, -1.448605135932201e-02, 1.857170690050649e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5053, 7.526992796770013e-01, -3.489759318672071e-02, 5.006272384642270e-04, 2.012953586454313e-03, 4.069780258598619e-04, 1.086897085956683e+02, 4.347419850667321e+01, 3.025153763896400e+02, 1.176511913355902e-02, -2.382654099355651e-03, 1.857794140290148e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5054, 7.662067270467205e-01, -3.344531574265885e-02, 5.007783113293087e-04, 2.366444656252987e-03, 2.684215751743123e-04, 1.087035219497431e+02, 4.347914346196122e+01, 3.024585138300779e+02, 1.364096442084095e-02, -1.732955974668280e-03, 1.857526161977523e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5055, 6.642411285669002e-01, -5.029965900513271e-02, 4.940583006839655e-04, 1.279521931061012e-02, 2.241626678466718e-03, 1.069942489864597e+02, 4.272939084351599e+01, 3.012859271180933e+02, 7.556067102097418e-02, -1.002399882554975e-01, 1.851994580905514e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5056, 6.671436655432315e-01, -4.674483881855471e-02, 4.940200055667116e-04, 8.258577496879634e-03, 1.991169892174798e-03, 1.069650297497403e+02, 4.275679492123198e+01, 3.015025237688490e+02, 4.940103690503965e-02, -9.663947483042551e-02, 1.853017147008506e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5057, 6.819596434010639e-01, -4.533558013933676e-02, 4.954464812557432e-04, 7.456842433764529e-03, 1.920392267500313e-03, 1.073158619947296e+02, 4.290240985929150e+01, 3.016583036379797e+02, 4.463713371278389e-02, -7.750770382875129e-02, 1.853752371999608e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5058, 6.964695000776069e-01, -4.263341527307182e-02, 4.960099346783359e-04, 5.226337508226606e-03, 1.575059114159732e-03, 1.074755296643075e+02, 4.297819782613230e+01, 3.018479083322953e+02, 3.159667720716708e-02, -6.755022250435477e-02, 1.854646988312802e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5059, 7.108048972191833e-01, -4.013225321216950e-02, 4.982173430296597e-04, 3.278900147571939e-03, 7.965853125295042e-04, 1.080885838066361e+02, 4.323086293333346e+01, 3.022772124476716e+02, 1.943167026432437e-02, -3.435355301766847e-02, 1.856671572013396e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5060, 7.250247289078892e-01, -3.868812722958173e-02, 4.986426831591491e-04, 2.572387420626882e-03, 8.088782653979252e-04, 1.082075960115402e+02, 4.328012190294639e+01, 3.023635041643969e+02, 1.551343110597804e-02, -2.788161175277027e-02, 1.857078351520957e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5061, 6.019933837691797e-01, -9.428755581628316e-02, 5.087812779246563e-04, 8.953450886518614e-02, 5.230008166687411e-03, 1.131541722997242e+02, 4.209968886592042e+01, 2.882558366506975e+02, 5.179181183594576e-01, -1.829740414728663e-01, 1.789808231011293e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5062, 6.283073035874303e-01, -8.513210447595648e-02, 5.063665975143705e-04, 7.932624518592198e-02, 4.962324760919865e-03, 1.121130217422197e+02, 4.235006866461092e+01, 2.913529464135716e+02, 4.587133577456923e-01, -1.500776296360946e-01, 1.804710372444577e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5063, 6.550493406413505e-01, -7.948280243632531e-02, 5.054245257893238e-04, 7.034456743796892e-02, 4.563194145931167e-03, 1.114700313545409e+02, 4.262167309634205e+01, 2.937680272106898e+02, 4.059148904708190e-01, -1.143925971788060e-01, 1.816277901589623e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5064, 6.781594555420759e-01, -7.378002144059113e-02, 5.043165407375129e-04, 5.991716649473693e-02, 4.124289145299168e-03, 1.107412057823592e+02, 4.286600113283520e+01, 2.961011566635077e+02, 3.452276508117532e-01, -8.229130245061599e-02, 1.827409311288966e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5065, 6.891412421660903e-01, -6.759408190317749e-02, 5.018300237599880e-04, 4.790953448292757e-02, 3.563105762444196e-03, 1.097075786391204e+02, 4.296319043069224e+01, 2.982429790911200e+02, 2.765216309476983e-01, -6.952198485729011e-02, 1.837590617732454e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5066, 6.599224952604601e-01, -8.740224278890503e-02, 5.111266998375012e-04, 8.392689797434874e-02, 5.244695029637340e-03, 1.134271842717338e+02, 4.260395465249911e+01, 2.903699642925662e+02, 4.816086235362880e-01, -1.167205534628691e-01, 1.799988930068207e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5067, 6.744198926135719e-01, -9.654864021006189e-02, 5.153992341421136e-04, 9.035849116981411e-02, 5.351445244229886e-03, 1.147147202420605e+02, 4.270649070935029e+01, 2.886559157061695e+02, 5.156398197168520e-01, -1.032487463444977e-01, 1.791737583509172e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5068, 7.903420684547789e-01, -9.325654913571715e-02, 5.224399877764790e-04, 8.854395682504755e-02, 4.572228842155925e-03, 1.162609040847773e+02, 4.349504467856936e+01, 2.900238517140232e+02, 4.970900380366143e-01, 3.562420076888532e-04, 1.798324654807099e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5069, 9.275143129277745e-01, -8.773265251141159e-02, 5.200322441700865e-04, 8.644132830759203e-02, 4.500335504854337e-03, 1.155500141976667e+02, 4.333850887065469e+01, 2.903180495162730e+02, 4.872962546817904e-01, -2.021037890699721e-02, 1.799739359884511e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5070, 1.035381902003993e+00, -8.455293215646231e-02, 5.154020092734156e-04, 8.462480457202577e-02, 4.267001073007179e-03, 1.142238954535193e+02, 4.290355241587646e+01, 2.899863070358290e+02, 4.815765854677257e-01, -7.735758783631722e-02, 1.798144064474352e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5071, 1.308325276970215e+00, -6.565898753994037e-02, 5.147025551875151e-04, 7.057020741388086e-02, 2.147981037242293e-04, 1.138307049549036e+02, 4.359710592251903e+01, 2.950745012868763e+02, 3.981552029142406e-01, 1.376566533617237e-02, 1.822516369164103e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5072, 1.147299211489647e+00, -7.980803409870310e-02, 5.186338633491002e-04, 8.168661492986427e-02, 1.717601827734144e-03, 1.149464159030977e+02, 4.340424420971961e+01, 2.915423658451472e+02, 4.602420887635942e-01, -1.157367260153924e-02, 1.805619305217827e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5073, 1.236851967073510e+00, -7.377340028878129e-02, 5.170883918875266e-04, 7.559203664997104e-02, 5.041183377099601e-04, 1.146671357479972e+02, 4.365662864732155e+01, 2.941140364361942e+02, 4.252205007211945e-01, 2.158612081617382e-02, 1.817931414699958e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5074, 1.373574332568238e+00, -5.340403948631421e-02, 5.125079006025946e-04, 6.535296967243645e-02, 9.213350731458759e-05, 1.129634406828856e+02, 4.351866279280874e+01, 2.958048721196052e+02, 3.698398354561123e-01, 3.459332659929763e-03, 1.825998092334568e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5075, 1.314206111431410e+00, -5.693419086926815e-02, 5.115366071875938e-04, 6.183939159220726e-02, -7.749901622787358e-04, 1.128161365289556e+02, 4.363107347619327e+01, 2.971320675383954e+02, 3.498637799684455e-01, 1.822852791773742e-02, 1.832314265778735e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5076, 1.417608243941172e+00, -4.433510712814132e-02, 5.120713822673800e-04, 6.212166730257699e-02, 1.023336472825113e-04, 1.126634594380869e+02, 4.355812828146362e+01, 2.963255160943401e+02, 3.515441030386974e-01, 8.644547181710475e-03, 1.828477491714792e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5077, 1.648235498609324e+00, -2.713602953141999e-02, 5.178071840108172e-04, 6.720756424205782e-02, 2.657174369104030e-04, 1.135870338251649e+02, 4.369017674765614e+01, 2.939314624239623e+02, 3.776431363078148e-01, 2.599387308181110e-02, 1.817059045114709e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5078, 1.658265757728555e+00, -1.462146026555126e-02, 5.170974082552750e-04, 6.237308116605813e-02, -6.305986480258357e-04, 1.130961482277284e+02, 4.373359817723261e+01, 2.946274416163356e+02, 3.505593776110049e-01, 3.169884304088761e-02, 1.820383148257919e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5079, 1.687951018333410e+00, -5.886661796657366e-03, 5.151869621191244e-04, 5.798745778752631e-02, -6.986414649581633e-04, 1.124396270739459e+02, 4.367029241764824e+01, 2.952919321619567e+02, 3.267578937757873e-01, 2.338134957768181e-02, 1.823553311675703e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5080, 1.713131222503033e+00, 5.745606619036417e-03, 5.130649035537431e-04, 5.053618340791981e-02, -9.912041259588545e-04, 1.115972069390046e+02, 4.364295095435979e+01, 2.963276288081347e+02, 2.854820026751417e-01, 1.978906281468825e-02, 1.828487548529797e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5081, 1.758214713949726e+00, 1.210971027588819e-02, 5.125964263569179e-04, 4.607054560267142e-02, -7.655346124172805e-04, 1.112724518866126e+02, 4.368061711174585e+01, 2.968544315174343e+02, 2.602478296112640e-01, 2.473787031497812e-02, 1.830994119105616e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5082, 1.731295952512394e+00, 2.103808667005043e-02, 5.112960261235944e-04, 3.845104219231506e-02, -1.341193014270405e-03, 1.107123942215957e+02, 4.370592661124088e+01, 2.977818749926965e+02, 2.175212824190614e-01, 2.806318538881938e-02, 1.835401732167365e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5083, 1.717664465626082e+00, 3.058177243414075e-02, 5.107368138692268e-04, 3.595405457223936e-02, -1.755976710778128e-03, 1.105647258090449e+02, 4.371847536577464e+01, 2.981935122918067e+02, 2.035964086864091e-01, 2.971191663367379e-02, 1.837355874974565e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5084, 1.669731372174532e+00, 3.475015451430779e-02, 5.102251307656017e-04, 3.397212305434382e-02, -2.386054830647115e-03, 1.104727306409747e+02, 4.373447003865082e+01, 2.986017632313533e+02, 1.926789976248705e-01, 3.181339346559472e-02, 1.839292647899383e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5085, 1.639762626535801e+00, 4.258547427073538e-02, 5.096214565436054e-04, 3.530429704436409e-02, -2.982776741441839e-03, 1.105021228450062e+02, 4.370821275828656e+01, 2.987759864503618e+02, 2.006331538684152e-01, 2.836355321053537e-02, 1.840118784052627e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5086, 1.607814891218268e+00, 5.175354416354563e-02, 5.102903302232646e-04, 3.919660441879299e-02, -3.396099293433375e-03, 1.109201799490229e+02, 4.376139487965432e+01, 2.987474198200449e+02, 2.225123944052877e-01, 3.535094187374560e-02, 1.839983342121069e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5087, 1.452566641713214e+00, -3.616267400131657e-02, 5.127042432136849e-04, 5.379459606095746e-02, -1.861658493662832e-04, 1.122555785574410e+02, 4.377335712111933e+01, 2.974221364345589e+02, 3.034861316611800e-01, 3.692261348536168e-02, 1.833692890906911e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5088, 1.600874294991142e+00, -3.048553540258719e-02, 5.178294414988478e-04, 6.519205596010635e-02, 6.034082673352502e-04, 1.135396079283377e+02, 4.377423382230303e+01, 2.944843093993359e+02, 3.659709522155979e-01, 3.703779978772153e-02, 1.819699837528157e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5089, 1.490189830294934e+00, -3.361651588620970e-02, 5.137988269828847e-04, 5.660999966504475e-02, 4.188578317991008e-04, 1.125106518955706e+02, 4.375674233831312e+01, 2.966758658021899e+02, 3.190964531731909e-01, 3.473966286142817e-02, 1.830144730668890e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5090, 1.525131374904654e+00, -3.146509798988995e-02, 5.140568571496714e-04, 5.806458611891218e-02, -4.663651866548767e-05, 1.125360306283909e+02, 4.370269029327584e+01, 2.961606544628650e+02, 3.274068733096310e-01, 2.763797836664938e-02, 1.827692619907926e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5091, 1.562312587371246e+00, -3.055327991549574e-02, 5.166041054168111e-04, 6.302580863597859e-02, 3.717698027928502e-04, 1.132677788042264e+02, 4.376922565305222e+01, 2.951490267428604e+02, 3.542408210662546e-01, 3.637979623038701e-02, 1.822871827763203e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5092, 1.107683981082633e+00, 1.216641752435373e-01, 5.182760956854057e-04, 9.164060739565510e-02, -6.224016091460015e-03, 1.146894346332460e+02, 4.262008084704696e+01, 2.864728284693115e+02, 5.223186980067558e-01, -1.146017965184977e-01, 1.781194112871847e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5093, 1.201855230530584e+00, 1.158339598160284e-01, 5.191734139529383e-04, 8.880908586935948e-02, -7.925885293766774e-03, 1.145408167343635e+02, 4.275381494834932e+01, 2.868750467282375e+02, 5.057925512498186e-01, -9.703100168571976e-02, 1.783139564722770e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5094, 1.293504490960516e+00, 1.131362189814817e-01, 5.252015149726578e-04, 8.780596476972582e-02, -7.387081722934577e-03, 1.156388561049851e+02, 4.329878919427048e+01, 2.871971507904270e+02, 4.938449870011699e-01, -2.542899014956653e-02, 1.784696575717302e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5095, 1.341407003830880e+00, 1.082582369139088e-01, 5.272514281818757e-04, 8.786256210439115e-02, -6.396774669760764e-03, 1.162129569638728e+02, 4.354133166219223e+01, 2.876830588580221e+02, 4.913919665455244e-01, 6.437705783533891e-03, 1.787043808905013e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5096, 1.339549765600510e+00, 1.003186095618299e-01, 5.258968392900008e-04, 8.610140069182674e-02, -6.447049670709655e-03, 1.158700045366689e+02, 4.351283906274232e+01, 2.882353249360362e+02, 4.823933046132472e-01, 2.694175791472186e-03, 1.789709280050879e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5097, 1.376966247276248e+00, 9.171519774424769e-02, 5.233952723940194e-04, 7.983181168352398e-02, -5.879318072430206e-03, 1.151933923292760e+02, 4.362885008587604e+01, 2.903850919033505e+02, 4.476975959970504e-01, 1.793640545445508e-02, 1.800061649067217e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5098, 1.402481046789114e+00, 8.198660055385405e-02, 5.210509977390413e-04, 7.507345413979172e-02, -5.654124729029202e-03, 1.145663655984168e+02, 4.365094628177117e+01, 2.918393009695700e+02, 4.219040299431587e-01, 2.083953727257247e-02, 1.807043580827018e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5099, 1.506768790366455e+00, 7.465240555817579e-02, 5.183514937529487e-04, 6.297063098738184e-02, -4.239545176331532e-03, 1.135563565142020e+02, 4.388564181220120e+01, 2.949364476161022e+02, 3.536573388313475e-01, 5.167525511265136e-02, 1.821857789815102e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5100, 1.466524732691244e+00, 7.632447277100936e-02, 5.209485684286840e-04, 6.779689696871671e-02, -4.018296854404967e-03, 1.143209751240631e+02, 4.395755652488415e+01, 2.939470050359618e+02, 3.793089413679369e-01, 6.112384488672472e-02, 1.817133320555996e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5101, 1.541432026769164e+00, 5.378141568944612e-02, 5.119755595826977e-04, 4.278127131827306e-02, -5.152949000694574e-03, 1.113774762659091e+02, 4.382564726516480e+01, 2.982012467770681e+02, 2.431244292639176e-01, 4.379280877475911e-02, 1.837392579919053e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5102, 1.568101540538651e+00, 4.609344481884871e-02, 5.117370758610431e-04, 3.797710188930051e-02, -4.490710393455088e-03, 1.111086180844607e+02, 4.387189327893841e+01, 2.986550335615391e+02, 2.157031131278979e-01, 4.986888968409124e-02, 1.839545271385873e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5103, 1.513307738653899e+00, 5.778532881458293e-02, 5.132278283890792e-04, 4.723165867103861e-02, -5.521112489803142e-03, 1.117746340817571e+02, 4.382864176582478e+01, 2.974939655128385e+02, 2.679675136788712e-01, 4.418624437727831e-02, 1.834034175771498e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5104, 9.905362971848899e-01, 1.204322951148272e-01, 5.168541974235338e-04, 9.381887678782447e-02, -3.704327739606357e-03, 1.146080481197168e+02, 4.243192696094128e+01, 2.859927689550364e+02, 5.358386956938576e-01, -1.393225917200016e-01, 1.778870441416634e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5105, 8.607676650122171e-01, 1.192286880590607e-01, 5.116200622459495e-04, 9.441914614866664e-02, -2.551855148037845e-03, 1.134473674000665e+02, 4.189140306466972e+01, 2.852381988992032e+02, 5.452784978930163e-01, -2.103398894108013e-01, 1.775214250106294e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5106, 7.223006469912083e-01, 1.190353110835652e-01, 5.079789936921850e-04, 9.511586738950528e-02, -1.788477414217598e-03, 1.127129211951051e+02, 4.152193968586752e+01, 2.847490115346512e+02, 5.536101222295247e-01, -2.588822220240913e-01, 1.772841466186400e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
5107, 4.661780245271833e-01, 1.108819110615090e-01, 5.069215135286098e-04, 9.696451528723608e-02, 1.727575043327517e-03, 1.128857606153997e+02, 4.144363050696450e+01, 2.848048728046701e+02, 5.654815934966373e-01, -2.691709554333612e-01, 1.773112517768952e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
