"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Skin_Friction_Coefficient_z","Heat_Flux","Y_Plus","Eddy_Viscosity"
1682, 9.756232539637892e-01, 0.000000000000000e+00, -2.808694585303328e-02, 8.115747081424524e-01, 1.079245393363680e+02, -3.631691109012447e-01, 1.333210747709609e+01, 1.935619895412399e+05, 2.804469251635862e-05, 7.451056424818652e+04, 3.198303646748403e+02, 3.737438778693464e-01, -4.199485607863465e-01, 1.938277456129303e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.025022942991471e-07
1683, 1.405905428408313e+00, 1.476852431611017e+00, 7.366843505700219e-04, 9.357433547692943e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.207746740012938e+05, 0.000000000000000e+00, 8.830986960051750e+04, 3.287629260958648e+02, 0.000000000000000e+00, -1.223178505480563e-01, 1.978955593258846e-05, -1.349588321606086e-06, 6.334584620480211e-07, -4.338499537055554e-07, -8.401020450596719e-01, 3.144717244062356e+01, 0.000000000000000e+00
1684, 9.720269971313023e-01, 1.855527790012156e-02, -4.107425955812529e-03, 8.024873580776085e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.893356587072932e+05, 0.000000000000000e+00, 7.573426348291727e+04, 3.287642242814698e+02, 0.000000000000000e+00, -3.935551690139523e-01, 1.978961464818081e-05, 1.998435483620745e-06, -1.316591423029849e-07, 2.519175483376456e-07, -3.792914049557143e+00, 2.036162830946617e+02, 0.000000000000000e+00
1685, 6.658227540824878e-02, 5.840385362875421e-02, -2.613815294706082e-02, 9.256379355181958e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.183919097732287e+05, 0.000000000000000e+00, 8.735676390929146e+04, 3.287651218153672e+02, 0.000000000000000e+00, -1.428749377759177e-01, 1.978965524264313e-05, 2.147971821601819e-06, 2.599392161394565e-07, -4.620346871679911e-07, -1.654456668296434e+01, 1.129736895291594e+03, 0.000000000000000e+00
1686, 1.985129097212084e-02, 3.438484522689576e-02, 0.000000000000000e+00, 2.434555554412920e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.744010035932417e+05, 0.000000000000000e+00, 2.297604014372966e+05, 3.287651973449653e+02, 0.000000000000000e+00, 2.928561971243328e+00, 1.978965865876053e-05, -9.371218834050470e-08, -1.630339857785847e-07, 6.905013188353799e-08, -2.611812486420868e+00, 1.587866486868275e+02, 0.000000000000000e+00
1687, -1.158669318592985e+00, 0.000000000000000e+00, -1.937426162848283e+00, 1.153372918915868e+00, 3.229795508749714e+02, -2.985568947226897e-01, 1.417926487663292e+01, 2.850686826376849e+05, 4.809726402221500e-05, 9.590377182055879e+04, 2.896651736594324e+02, 8.215359780049274e-01, 4.147144561743704e-02, 1.796598948898530e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.216032698233035e-06
1688, 9.868670100926594e-01, 5.371513443928739e-02, -3.493319286250626e-03, 8.162252065160377e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.925771700526011e+05, 0.000000000000000e+00, 7.703086802104043e+04, 3.287646652681160e+02, 0.000000000000000e+00, -3.655893171303576e-01, 1.978963459352444e-05, 1.301654219273950e-06, 1.813634096612887e-07, 1.547880462451278e-07, -2.956009451068012e+00, 3.338226246001093e+02, 0.000000000000000e+00
1689, 1.056087957089045e+01, 1.840720164841049e+01, 9.772227356219206e+01, 1.136213044990472e+00, 3.241292059917348e+02, -8.251400059784328e-03, 1.733413617849949e+01, 2.813225246159572e+05, 4.724481731724171e-05, 9.398315438617619e+04, 2.881513054370478e+02, 8.394975075088738e-01, 4.655382063548083e-05, 1.789303924616603e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.765661775280850e-06
1690, 4.942474679356934e+00, 0.000000000000000e+00, 5.647504542332155e+01, 1.136171438536290e+00, 3.241163207275237e+02, -1.475093061609757e-03, 1.735270542471761e+01, 2.813110927848552e+05, 4.724482358981704e-05, 9.397925948029132e+04, 2.881499153259556e+02, 8.394995618061407e-01, -3.745356779645377e-05, 1.789297217492210e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.765180513153281e-06
1691, 8.466322874216895e-01, 1.465073148306699e+00, -3.716887304209474e-03, 9.947973298700684e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.347083486223904e+05, 0.000000000000000e+00, 9.388333944895613e+04, 3.287640058743945e+02, 0.000000000000000e+00, -2.106307493660865e-03, 1.978960476986277e-05, 3.220669284642096e-06, 5.274363176903417e-06, -2.545343124875758e-07, -3.693246454866502e+01, 3.559120910072460e+02, 0.000000000000000e+00
1692, 1.184037586692965e+00, 6.550966141971852e-01, -1.326295635564633e-09, 3.945027404805287e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 9.307766614130468e+04, 0.000000000000000e+00, 3.723106645652186e+04, 3.287651669408020e+02, 0.000000000000000e+00, -1.224012469929836e+00, 1.978965728361502e-05, 1.656300302619538e-08, 6.037153164268535e-08, 1.397156260588262e-08, -5.801921015630530e-01, 6.927374402084292e+02, 0.000000000000000e+00
1693, 9.822208772179251e-01, 5.515997365596901e-03, 2.392592815007411e-03, 7.924094508053894e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.869576584597612e+05, 0.000000000000000e+00, 7.478306338390443e+04, 3.287637686561067e+02, 0.000000000000000e+00, -4.140711554219277e-01, 1.978959404073002e-05, 1.667331024970650e-06, -4.271979132544763e-08, -2.078402849566451e-07, -1.058610586248074e+00, 9.608600773433471e+01, 0.000000000000000e+00
1694, 8.452297673291105e-01, 1.459177731026753e+00, -6.905715583608687e-03, 1.230475029965909e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.903128377930864e+05, 0.000000000000000e+00, 1.161251351172345e+05, 3.287636342644040e+02, 0.000000000000000e+00, 4.776164954086174e-01, 1.978958796233345e-05, 3.664739556131606e-06, 4.682692232108987e-06, -1.052179658873727e-06, -2.692943935864992e+01, 4.332204199123418e+02, 0.000000000000000e+00
1695, 2.285561191272961e+00, 0.000000000000000e+00, -6.666395956809424e+00, 1.132367071844483e+00, 3.236069518132809e+02, -2.705137121044798e-01, 1.695741260653020e+01, 2.804148918910699e+05, 4.720764055720192e-05, 9.361912880764043e+04, 2.880100938531115e+02, 8.411501142308682e-01, -7.804942230663986e-03, 1.788622515658535e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.710437317817354e-06
1696, 1.373564726584984e+00, 1.471516656489709e+00, 4.928010663231570e-03, 8.598870744242650e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.028780675204810e+05, 0.000000000000000e+00, 8.115122700819236e+04, 3.287638179212170e+02, 0.000000000000000e+00, -2.767192370450874e-01, 1.978959626893927e-05, 2.648373474979016e-06, -2.316939022983097e-07, -3.309993166442981e-07, -7.417962053236500e+00, 2.467663569474423e+02, 0.000000000000000e+00
1697, 1.408122077217542e+00, 1.471509010681958e+00, 6.525621817419142e-04, 9.180988296488999e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.166115926463658e+05, 0.000000000000000e+00, 8.664463705854629e+04, 3.287627453561511e+02, 0.000000000000000e+00, -1.582344660242900e-01, 1.978954775790894e-05, 6.848370342257538e-06, 3.400749447915245e-06, -7.295130066729366e-07, -1.182690679874353e+01, 6.085504790520884e+01, 0.000000000000000e+00
1698, 6.584120618710422e-02, 9.995464779636304e-02, -1.518526147330311e-02, 1.427244060021891e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.367391691679237e+05, 0.000000000000000e+00, 1.346956676671694e+05, 3.287651148287142e+02, 0.000000000000000e+00, 8.781555552538842e-01, 1.978965492664478e-05, 2.026639756346273e-06, -1.942381120628183e-07, -1.704575399150097e-06, -1.642911076013841e+01, 6.921897072169025e+02, 0.000000000000000e+00
1699, 7.231911156718508e-01, 1.224180520089115e+00, 1.570155366609907e-02, 7.336078289879551e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.730848497430395e+05, 0.000000000000000e+00, 6.923393989721578e+04, 3.287648923737048e+02, 0.000000000000000e+00, -5.337575832799890e-01, 1.978964486525658e-05, 7.008023502167239e-07, 1.295689254084297e-07, 1.878823270194810e-07, -6.967277846567225e+00, 1.066728789163129e+03, 0.000000000000000e+00
1700, 1.133617255293842e+00, 0.000000000000000e+00, -1.840429590575070e-01, 1.042861082358058e+00, 3.597036757674765e+02, 2.606409545548986e+00, 2.370256497090781e+01, 2.638515041883969e+05, 4.402183957657194e-05, 8.061775403707015e+04, 2.692988999665236e+02, 1.050762265438589e+00, -2.882254640060855e-01, 1.696875555689884e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.406940592735665e-06
1701, 2.031283125147127e+00, 0.000000000000000e+00, -4.634112103324128e+00, 1.131902160179580e+00, 3.257088038721587e+02, 1.027133299144661e-01, 1.435187352852111e+01, 2.804725313511319e+05, 4.708619807415715e-05, 9.340784655579281e+04, 2.874781334783674e+02, 8.474041369388202e-01, -1.236198949301253e-02, 1.786054126381985e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.683401864105580e-06
1702, -4.675373668016789e-01, 0.000000000000000e+00, -7.147604838832024e+00, 1.138563312738680e+00, 3.249650799727311e+02, 1.287401301750808e-01, 1.677984736148578e+01, 2.819144569361908e+05, 4.731260389541888e-05, 9.416622280824340e+04, 2.881166191493496e+02, 8.398945128913360e-01, 3.995070292362330e-03, 1.789136562662737e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.816923369636407e-06
1703, 1.712865964016220e+01, 0.000000000000000e+00, 2.571652723487969e+01, 1.136213823084945e+00, 3.243096113451080e+02, -1.579618686155444e-02, 1.735089794695386e+01, 2.813364711890859e+05, 4.729313631901987e-05, 9.396805182965052e+04, 2.881048038686412e+02, 8.400329517827198e-01, -2.791860996272595e-04, 1.789079551511961e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.781608232654252e-06
1704, -1.577061658408638e-01, 0.000000000000000e+00, 2.763907542898332e+01, 1.136087861284806e+00, 3.240816223507255e+02, -9.031346728586472e-03, 1.742820559387696e+01, 2.812900514146844e+05, 4.724518103564567e-05, 9.397297579499750e+04, 2.881518454828738e+02, 8.394793507055683e-01, -1.729834128982284e-04, 1.789306530270729e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.764184295952276e-06
1705, 1.367384611892040e+00, 1.307735119131682e+00, -2.647553126374246e-09, 9.738032812073852e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.297559129527003e+05, 0.000000000000000e+00, 9.190236518108008e+04, 3.287651691385755e+02, 0.000000000000000e+00, -4.483300737150154e-02, 1.978965738301780e-05, 4.690084819726766e-08, -3.113608740197419e-08, -2.969784982542182e-07, -2.191490419637742e+00, 7.742340220953648e+02, 0.000000000000000e+00
1706, 1.405931219240743e+00, 1.477138030340253e+00, 0.000000000000000e+00, 7.236122870879346e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.707253938650499e+05, 0.000000000000000e+00, 6.829015754601995e+04, 3.287626915231145e+02, 0.000000000000000e+00, -5.541135797830541e-01, 1.978954532309320e-05, -1.211393323063285e-06, 2.670017978999554e-07, 3.894971731807847e-06, -2.785235657905363e+00, 4.040988592785214e+01, 0.000000000000000e+00
1707, 2.495788870261833e+00, 0.000000000000000e+00, 2.269469676728448e+00, 1.115384949967649e+00, 3.157365891842811e+02, 1.577826120525380e-01, 5.800397766087118e+00, 2.759328379887379e+05, 4.805061766765935e-05, 9.249172783703770e+04, 2.888740017213232e+02, 8.309413793001013e-01, -3.212132215243640e-02, 1.792788746014092e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.722777096748394e-06
1708, 1.199681520988215e+00, 8.003800902847135e-01, -3.115420274383835e-03, 1.551621382853939e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.660844935102624e+05, 0.000000000000000e+00, 1.464337974041049e+05, 3.287652554626493e+02, 0.000000000000000e+00, 1.131329740567724e+00, 1.978966128735668e-05, 3.168143101854045e-07, -2.843213777364203e-08, 4.020123443287147e-08, -4.990526297110394e-01, 4.774784345247783e+02, 0.000000000000000e+00
