"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          92,      -1.577818272,      0.8364162726,      0.6228657735,      0.6262589877,       3.832633283,      -5.960564762
          0,           0,          93,      -1.574909284,      0.8472421525,      0.6188368717,      0.6210725975,       3.835909951,      -5.958684269
          0,           0,          94,      -1.572790236,      0.8576096402,      0.6142666597,      0.6156396924,       3.838944529,      -5.957364596
          0,           0,          95,      -1.571485839,      0.8667856637,      0.6090711514,      0.6097194175,       3.841588798,      -5.956685492
          0,           0,          96,      -1.570954253,      0.8762236511,      0.6034745191,       0.602925473,        3.84380773,      -5.956708771
          0,           0,          97,      -1.571331756,      0.8848606911,      0.5982373383,      0.5964904061,       3.845309355,      -5.957455668
          0,           0,          98,      -1.572617524,      0.8923089985,      0.5923035109,      0.5904782952,       3.846166206,      -5.958955909
          0,           0,          99,      -1.574578495,      0.8989678047,      0.5863397168,      0.5846068068,       3.846642651,       -5.96122384
          0,           0,         100,      -1.577292788,      0.9044252679,      0.5812121635,       0.578937771,       3.846195638,      -5.964268753
          0,           0,         101,      -1.580718752,      0.9082833862,      0.5769051704,      0.5736767294,       3.844849248,      -5.968045073
          0,           0,         102,      -1.584492393,       0.911275989,      0.5733587211,      0.5677924093,       3.843346187,      -5.972474783
          0,           0,         103,      -1.588508771,      0.9143730204,      0.5696121156,      0.5610391284,       3.842073114,      -5.977361384
          0,           0,         104,      -1.592898232,       0.916260192,      0.5660099217,      0.5542422147,       3.839996183,      -5.982517549
          0,           0,         105,      -1.597978172,      0.9162686903,      0.5628893157,       0.547305871,       3.836183059,       -5.98761219
          0,           0,         106,      -1.603381783,      0.9137302923,      0.5592757568,      0.5400265844,       3.831470131,      -5.992426589
          0,           0,         107,      -1.608966592,      0.9089073378,      0.5550716635,       0.532379258,       3.826092141,      -5.996785627
          0,           0,         108,      -1.614612785,      0.9023876081,      0.5500380015,      0.5243423232,       3.820271051,      -6.000535037
          0,           0,         109,      -1.620441653,      0.8940243409,      0.5448182335,      0.5165911868,       3.813611528,      -6.003415742
          0,           0,         110,      -1.626168814,      0.8837456896,       0.539741008,      0.5094450604,       3.806572004,      -6.005360043
          0,           0,         111,      -1.631522174,      0.8714766648,      0.5353123376,      0.5028668869,       3.799704048,      -6.006443518
          0,           0,         112,      -1.636212436,      0.8573246204,      0.5326947436,      0.4979438727,       3.793122709,      -6.006702904
          0,           0,         113,      -1.639990352,      0.8418563093,      0.5318606085,       0.494655866,       3.787274309,      -6.006157532
          0,           0,         114,      -1.642881917,      0.8249637852,      0.5331761385,      0.4932092615,        3.78200467,      -6.004880839
          0,           0,         115,      -1.644867562,      0.8067597752,      0.5371834866,      0.4950088962,       3.777390959,       -6.00292299
          0,           0,         116,      -1.645742044,      0.7875108661,      0.5431235653,      0.4995054809,         3.7737343,      -6.000347258
          0,           0,         117,      -1.645415717,      0.7675079125,      0.5511060984,      0.5062890731,       3.771339085,      -5.997241535
          0,           0,         118,      -1.643813419,      0.7469082071,      0.5611168213,      0.5154159669,       3.770448887,      -5.993712358
          0,           0,         119,       -1.64113328,      0.7249457121,       0.572722448,      0.5265960943,       3.770464236,      -5.989870781
          0,           0,         120,      -1.637375392,      0.7028341069,      0.5853641529,      0.5395611843,       3.771823478,      -5.985754421
          0,           0,         121,      -1.632555301,      0.6815227886,      0.5988356621,      0.5539005263,       3.774723249,      -5.981350758
          0,           0,         122,      -1.626588439,      0.6616032116,       0.612107481,      0.5691657485,       3.779369604,      -5.976664824
          0,           0,         123,      -1.619776764,       0.643699916,       0.625115449,      0.5844798339,       3.785062791,      -5.971694506
          0,           0,         124,       -1.61240578,      0.6279688245,      0.6381744055,       0.599739781,       3.791497222,      -5.966451519
          0,           0,         125,      -1.604568947,      0.6180243591,      0.6499297627,      0.6149903192,       3.798763101,       -5.96099341
          0,           0,         126,      -1.596533484,      0.6123509457,      0.6611947254,      0.6297934837,       3.806392827,      -5.955342072
          0,           0,         127,      -1.588523721,      0.6114209547,      0.6720850607,      0.6436024369,       3.814112069,         -5.949507
          0,           0,         128,       -1.58049881,      0.6155276963,      0.6822129408,      0.6563240006,       3.822057837,      -5.943457775
          0,           0,         129,      -1.572502915,      0.6250989198,      0.6913646434,      0.6675501221,       3.830210628,       -5.93724049
          0,           0,         130,      -1.564701191,      0.6391591105,      0.6993315831,      0.6775549114,       3.838278272,      -5.930975253
          0,           0,         131,      -1.557369846,      0.6576615609,      0.7053953971,      0.6861778883,       3.845831908,      -5.924687483
          0,           0,         132,      -1.550467449,       0.678085792,      0.7101495984,      0.6933466516,       3.852928672,      -5.918418352
          0,           0,         133,      -1.543974895,      0.6984803475,      0.7140693456,      0.6996583923,       3.859863451,      -5.912226011
          0,           0,         134,      -1.538075903,      0.7177121524,      0.7174285148,       0.704742444,       3.866166484,      -5.906141351
          0,           0,         135,      -1.532632024,      0.7388111462,      0.7201404382,      0.7088742283,       3.872183418,      -5.900221495
          0,           0,         136,      -1.527749498,      0.7618308814,      0.7220143755,      0.7115983181,       3.877832375,       -5.89453532
          0,           0,         137,      -1.523577978,      0.7844452833,      0.7229126201,      0.7135582093,       3.882714851,      -5.889223639
          0,           0,         138,      -1.519841638,      0.8059972121,      0.7236668665,      0.7145205606,       3.887421925,      -5.884328241
          0,           0,         139,      -1.516495266,       0.825880273,      0.7228453564,      0.7146990909,       3.891729314,      -5.879997629
          0,           0,         140,      -1.513617243,        0.84505159,      0.7212753572,      0.7139226878,       3.895751809,      -5.876270375
          0,           0,         141,      -1.511192758,      0.8632742387,      0.7194435602,      0.7124004243,       3.899479282,      -5.873212371
          0,           0,         142,      -1.509183436,      0.8802307815,      0.7175596988,      0.7099417847,       3.902719614,      -5.870869863
          0,           0,         143,      -1.507624439,      0.8959118652,      0.7157166293,      0.7068569703,        3.90558014,      -5.869346863
          0,           0,         144,      -1.506713284,      0.9099348676,      0.7135911523,      0.7031814906,       3.907309668,      -5.868736291
          0,           0,         145,      -1.506151966,      0.9240340736,      0.7112335483,      0.6984592802,       3.909261255,       -5.86875867
          0,           0,         146,       -1.50531345,      0.9414550988,      0.7083061748,      0.6927379223,       3.914094318,       -5.86947275
          0,           0,         147,       -1.50595001,      0.9511061315,      0.7047458144,      0.6863633975,       3.913643039,      -5.871099067
          0,           0,         148,      -1.506214663,      0.9629372831,      0.7004182918,       0.679637504,       3.916013098,      -5.873783329
          0,           0,         149,      -1.506518751,      0.9743831389,      0.6956162783,      0.6726924483,       3.919381863,      -5.877611471
          0,           0,         150,      -1.506383242,      0.9872215288,      0.6913107647,       0.665350679,       3.925867283,      -5.882419929
          0,           0,         151,      -1.511589122,      0.9799268192,      0.6880579512,      0.6580599956,       3.915190758,      -5.887865535
          0,           0,         152,      -1.514975465,      0.9797174651,      0.6813307394,      0.6498740404,        3.91200676,      -5.893813722
          0,           0,         153,      -1.518439338,      0.9793635672,      0.6747375336,      0.6421166181,       3.908956778,       -5.90020751
          0,           0,         154,      -1.522247838,      0.9768636407,      0.6686766287,       0.635163205,       3.904928443,      -5.906963012
          0,           0,         155,      -1.526090351,      0.9731818342,       0.663042247,      0.6281791165,        3.90115646,      -5.913998063
          0,           0,         156,      -1.530065398,       0.967357505,      0.6574928251,      0.6211769306,        3.89714369,      -5.921273556
          0,           0,         157,      -1.533312468,      0.9639059471,      0.6519178439,      0.6145303657,       3.896351627,      -5.928738069
          0,           0,         158,       -1.53806757,      0.9541661878,      0.6468294148,      0.6071946506,       3.890667886,      -5.936303164
          0,           0,         159,      -1.542900049,      0.9423049625,      0.6423142297,      0.6002466089,       3.884440095,      -5.943778641
          0,           0,         160,      -1.547356141,       0.931955744,       0.633833656,      0.5934451785,       3.879475289,       -5.95108878
          0,           0,         161,       -1.55256288,       0.918856106,      0.6246701182,      0.5866744637,       3.872777149,      -5.958118034
          0,           0,         162,      -1.557599605,      0.9074358744,      0.6165941815,      0.5809065256,       3.867209804,      -5.964302512
          0,           0,         163,      -1.562441076,      0.8966441898,        0.61069804,      0.5756364927,       3.862160726,      -5.969232738
          0,           0,         164,      -1.567140637,       0.885114551,      0.6061190561,      0.5705121643,       3.856911622,      -5.972814423
          0,           0,         165,      -1.571614862,      0.8710359865,      0.6023901061,      0.5656673312,       3.851441097,      -5.974996274
          0,           0,         166,      -1.575782026,      0.8547573513,       0.600378533,      0.5614178482,       3.845819301,       -5.97569825
          0,           0,         167,      -1.579559514,       0.836492704,      0.5998516564,      0.5578785608,       3.840072139,      -5.974871931
          0,           0,         168,      -1.582538171,      0.8166598988,      0.6004206334,      0.5557659038,       3.835003734,      -5.972701985
          0,           0,         169,      -1.584778033,       0.795797597,      0.6025802341,      0.5558620394,       3.830443077,      -5.969292085
          0,           0,         170,      -1.586177556,      0.7745451894,      0.6058210394,      0.5577571858,        3.82701532,      -5.964796031
          0,           0,         171,      -1.586639887,      0.7525628914,      0.6101328908,      0.5610223848,       3.824916766,      -5.959634995
          0,           0,         172,      -1.586431699,      0.7295416334,      0.6151017585,      0.5657108132,       3.823639549,      -5.954158013
          0,           0,         173,      -1.585667499,      0.7048833879,      0.6205429003,      0.5717218297,        3.82308961,      -5.948512454
          0,           0,         174,      -1.584496562,      0.6782943697,      0.6267256095,      0.5786668681,        3.82306733,      -5.942693752
          0,           0,         175,      -1.583124423,       0.650327721,      0.6329810671,      0.5860682115,       3.823015804,      -5.936710362
