"Density_0","Density_1","Density_2","Density_3","Density_4","Momentum:0","Momentum:1","Momentum:2","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity_tr","Thermal_Conductivity_ve","Heat_Flux","Y_Plus","Points:0","Points:1","Points:2"
1.151536242105e-03,1.088868521038e-05,1.568602601765e-05,1.100539819276e-07,3.485179913696e-04,9.244831085205e+00,2.921963809058e-03,0.000000000000e+00,3.462462500000e+04,4.579003524780e+01,7.542456388474e-01,7.131988182664e-03,1.027420256287e-02,7.208434544737e-05,2.282760739326e-01,5.425185546875e+02,1.023357482910e+03,9.019309692383e+02,8.397238731384e+00,2.368488349020e-03,4.267899203114e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.694180518389e-02,3.213682677597e-03,0.000000000000e+00,0.000000000000e+00,-5.415856465697e-02,7.995096966624e-03,0.000000000000e+00
1.153471414000e-03,1.090741443477e-05,1.572130167915e-05,1.468505814728e-07,3.490956733003e-04,9.244612693787e+00,5.310499691404e-04,0.000000000000e+00,3.465916796875e+04,4.589499664307e+01,7.542269229889e-01,7.132093422115e-03,1.027977745980e-02,9.602202771930e-05,2.282651811838e-01,5.764282226562e+02,1.085456298828e+03,9.021552734375e+02,8.139360427856e+00,3.575891256332e-03,4.446119419299e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.974167376757e-02,3.348590107635e-03,0.000000000000e+00,0.000000000000e+00,-5.433787405491e-02,3.760843770579e-03,0.000000000000e+00
1.151664997451e-03,1.089003853849e-05,1.568774314364e-05,1.082508021000e-07,3.485541383270e-04,9.244605064392e+00,5.877821822651e-04,0.000000000000e+00,3.462613671875e+04,4.578843307495e+01,7.542479038239e-01,7.132098544389e-03,1.027420908213e-02,7.089556311257e-05,2.282749116421e-01,5.450329589844e+02,1.027990356445e+03,9.018782348633e+02,8.377187728882e+00,2.458018017933e-03,4.281277870177e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.715184450150e-02,3.223383799195e-03,0.000000000000e+00,0.000000000000e+00,-5.432860180736e-02,4.991726018488e-03,0.000000000000e+00
1.150073017925e-03,1.087472082872e-05,1.565591810504e-05,7.137547441971e-08,3.480773011688e-04,9.244610786438e+00,8.882033289410e-04,0.000000000000e+00,3.459783203125e+04,4.567756271362e+01,7.542687654495e-01,7.132122293115e-03,1.026784256101e-02,4.681119389716e-05,2.282844781876e-01,5.176613159180e+02,9.777568969727e+02,9.014976806641e+02,8.601894378662e+00,1.483411644585e-03,4.135410927120e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.486014276743e-02,3.111869329587e-03,0.000000000000e+00,0.000000000000e+00,-5.431233718991e-02,5.978405009955e-03,0.000000000000e+00
1.150122378021e-03,1.087515465770e-05,1.565649472468e-05,7.184924299963e-08,3.480929008219e-04,9.244725227356e+00,1.675087143667e-03,0.000000000000e+00,3.459910156250e+04,4.568131256104e+01,7.542682290077e-01,7.132096216083e-03,1.026777364314e-02,4.711985820904e-05,2.282847613096e-01,5.183710327148e+02,9.790542602539e+02,9.015118408203e+02,8.595923423767e+00,1.508682034910e-03,4.139200245845e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.491968035698e-02,3.114789258689e-03,0.000000000000e+00,0.000000000000e+00,-5.426157265902e-02,6.937632337213e-03,0.000000000000e+00
1.154043595307e-03,1.091290141630e-05,1.572862311150e-05,1.534386626645e-07,3.492679970805e-04,9.244617462158e+00,7.654894725420e-04,0.000000000000e+00,3.467092187500e+04,4.591033172607e+01,7.542243599892e-01,7.132119033486e-03,1.027942914516e-02,1.002797216643e-04,2.282638400793e-01,5.869743652344e+02,1.104760498047e+03,9.020963745117e+02,8.063897132874e+00,3.951401915401e-03,4.501033617998e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.060430943966e-02,3.389334771782e-03,0.000000000000e+00,0.000000000000e+00,-5.435497686267e-02,1.977500272915e-03,0.000000000000e+00
1.159280189313e-03,1.096308005799e-05,1.583067751199e-05,2.662738154413e-07,3.508407971822e-04,9.244601249695e+00,2.262091496959e-03,0.000000000000e+00,3.476660937500e+04,4.628426361084e+01,7.541598081589e-01,7.131938356906e-03,1.029851287603e-02,1.732221717248e-04,2.282364964485e-01,6.776366577148e+02,1.269473266602e+03,9.034070434570e+02,7.487752437592e+00,7.179562933743e-03,4.961161175743e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.783396542072e-02,3.743421519175e-03,0.000000000000e+00,0.000000000000e+00,-5.436835810542e-02,0.000000000000e+00,0.000000000000e+00
1.147681614384e-03,1.085545954993e-05,1.560851706017e-05,1.408695027294e-08,3.473562246654e-04,9.244617462158e+00,9.053453140950e-06,0.000000000000e+00,3.455439453125e+04,4.552079010010e+01,7.543014287949e-01,7.134634070098e-03,1.025853026658e-02,9.258496902476e-06,2.282961457968e-01,4.760623779297e+02,9.011195068359e+02,9.010023193359e+02,8.979413986206e+00,2.220775513706e-06,3.909398583346e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130932271481e-02,2.939953468740e-03,0.000000000000e+00,0.000000000000e+00,-2.049667946994e-02,7.152837514877e-02,0.000000000000e+00
1.147681730799e-03,1.085542498913e-05,1.560853161209e-05,1.409297922805e-08,3.473562828731e-04,9.244618415833e+00,9.619086995372e-06,0.000000000000e+00,3.455439843750e+04,4.552079391479e+01,7.543014287949e-01,7.134610787034e-03,1.025853771716e-02,9.262457751902e-06,2.282961755991e-01,4.760621337891e+02,9.011189575195e+02,9.010023193359e+02,8.979416847229e+00,2.212355866504e-06,3.909396764357e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130929663777e-02,2.939952071756e-03,0.000000000000e+00,0.000000000000e+00,-1.521819643676e-02,7.751663029194e-02,0.000000000000e+00
1.147681730799e-03,1.085520852939e-05,1.560860073369e-05,1.412728778405e-08,3.473565157037e-04,9.244619369507e+00,9.912071618601e-06,0.000000000000e+00,3.455440234375e+04,4.552078628540e+01,7.543013691902e-01,7.134467829019e-03,1.025858242065e-02,9.285005944548e-06,2.282962948084e-01,4.760603027344e+02,9.011152954102e+02,9.010022583008e+02,8.979434967041e+00,2.147134182451e-06,3.909386214218e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130913272500e-02,2.939942758530e-03,0.000000000000e+00,0.000000000000e+00,-8.838701993227e-03,8.457209914923e-02,0.000000000000e+00
1.147681497969e-03,1.085468375095e-05,1.560876080475e-05,1.420894246706e-08,3.473568940535e-04,9.244619369507e+00,9.410080565431e-06,0.000000000000e+00,3.455440625000e+04,4.552075576782e+01,7.543012499809e-01,7.134123705328e-03,1.025868952274e-02,9.338674317405e-06,2.282965779305e-01,4.760557250977e+02,9.011065063477e+02,9.010020751953e+02,8.979477882385e+00,1.984067012017e-06,3.909360020771e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130873411894e-02,2.939919941127e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.378725290298e-02,0.000000000000e+00
1.147681148723e-03,1.085515850718e-05,1.560860255267e-05,1.413232908476e-08,3.473563701846e-04,9.244615554810e+00,7.465352609870e-06,0.000000000000e+00,3.455438671875e+04,4.552076339722e+01,7.543013691902e-01,7.134438492358e-03,1.025858893991e-02,9.288323781220e-06,2.282963097095e-01,4.760596618652e+02,9.011145019531e+02,9.010021972656e+02,8.979438781738e+00,2.124153525074e-06,3.909383667633e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130909547210e-02,2.939940663055e-03,0.000000000000e+00,0.000000000000e+00,-2.832464873791e-02,6.233562156558e-02,0.000000000000e+00
