"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          99,      -4.819798214,      -4.974000676,      -5.451984016,      -4.279889294
          0,           0,         100,      -4.848966163,      -4.991527923,      -5.471154113,      -4.309160376
          0,           0,         101,      -4.876524991,      -5.008784936,      -5.487245988,      -4.335437158
          0,           0,         102,      -4.904489332,      -5.023856486,      -5.502771536,      -4.361972289
          0,           0,         103,      -4.929782047,      -5.034428198,      -5.518915751,      -4.385791044
          0,           0,         104,      -4.956083644,      -5.039804135,      -5.535375959,      -4.410539607
          0,           0,         105,      -4.981425478,      -5.042409261,      -5.550212674,      -4.434048443
          0,           0,         106,      -5.008325734,      -5.046491621,      -5.563119226,      -4.459177776
          0,           0,         107,      -5.029541812,      -5.054599828,      -5.574493315,      -4.478977697
          0,           0,         108,      -5.044575935,      -5.067211014,       -5.58589763,      -4.492893472
          0,           0,         109,      -5.049954477,      -5.083711606,      -5.596691213,      -4.497923108
          0,           0,         110,      -5.039432734,      -5.102136581,      -5.608168079,      -4.487701746
          0,           0,         111,      -5.019360841,      -5.115068841,      -5.618083948,       -4.46829686
          0,           0,         112,      -5.000112958,      -5.116512033,      -5.626572247,      -4.450016618
          0,           0,         113,      -4.992898135,      -5.113835899,      -5.636543086,       -4.44361898
          0,           0,         114,      -4.998274292,      -5.117146922,      -5.650163979,      -4.450055028
          0,           0,         115,      -5.008520885,      -5.132173237,      -5.666541764,      -4.460882489
          0,           0,         116,      -5.015888182,      -5.151965291,      -5.681382319,      -4.467962971
          0,           0,         117,      -5.019637641,      -5.167184492,      -5.690692688,       -4.47094338
          0,           0,         118,      -5.022498566,       -5.17406871,      -5.695786559,      -4.472944934
          0,           0,         119,      -5.027953761,      -5.176940975,      -5.699279078,      -4.477979339
          0,           0,         120,      -5.034022619,      -5.181303423,      -5.702434847,      -4.484023586
          0,           0,         121,      -5.039040449,      -5.188436778,      -5.705376899,      -4.489374283
          0,           0,         122,      -5.043524688,      -5.199719633,      -5.709085072,        -4.4946252
          0,           0,         123,      -5.047538426,      -5.215173147,      -5.713128849,      -4.499826956
          0,           0,         124,      -5.051414261,      -5.232507066,      -5.717486968,      -4.505001256
          0,           0,         125,      -5.057449386,      -5.250040977,      -5.722898262,      -4.512395891
          0,           0,         126,       -5.06530081,      -5.265801251,      -5.729654547,      -4.521498115
          0,           0,         127,      -5.072856809,      -5.276674468,       -5.73636908,      -4.529889842
          0,           0,         128,       -5.08341255,      -5.280301074,      -5.741903568,      -4.541116521
          0,           0,         129,      -5.095757404,      -5.279753982,      -5.745690659,      -4.553797993
          0,           0,         130,      -5.107544349,      -5.279662605,      -5.747161695,        -4.5656075
          0,           0,         131,       -5.11619602,      -5.281495541,      -5.746298816,      -4.573725357
          0,           0,         132,      -5.122605985,      -5.285894685,      -5.744796083,      -4.579327559
          0,           0,         133,       -5.12690081,      -5.292377054,      -5.744936385,      -4.582769707
          0,           0,         134,      -5.131271272,      -5.301011384,      -5.748861483,      -4.586709985
          0,           0,         135,      -5.133458746,      -5.312812169,      -5.755292456,      -4.588660043
          0,           0,         136,      -5.133155072,      -5.326923496,      -5.760869354,      -4.588380967
          0,           0,         137,      -5.129203407,      -5.341829266,      -5.765274416,      -4.584548027
          0,           0,         138,      -5.124086972,      -5.355254875,      -5.768799641,       -4.57942255
          0,           0,         139,      -5.115725804,      -5.364975851,      -5.768910603,      -4.570947414
          0,           0,         140,      -5.106808079,      -5.369334669,      -5.766080762,       -4.56181709
          0,           0,         141,      -5.101125512,      -5.368392994,      -5.763479732,      -4.556064824
          0,           0,         142,      -5.101346689,      -5.365393937,      -5.764227972,      -4.556699053
          0,           0,         143,      -5.105856996,      -5.364471283,      -5.770079354,      -4.561810223
          0,           0,         144,      -5.110585612,      -5.366898371,      -5.778285018,      -4.567034666
          0,           0,         145,      -5.117078639,      -5.372858926,      -5.787994359,      -4.574180452
          0,           0,         146,        -5.1208317,      -5.381814905,      -5.795824427,      -4.578468225
          0,           0,         147,      -5.124426912,      -5.392082595,      -5.801201951,      -4.582636823
          0,           0,         148,      -5.128312663,       -5.40214904,      -5.804811066,      -4.587146726
          0,           0,         149,      -5.132971007,      -5.411597471,      -5.807592512,      -4.592437141
          0,           0,         150,      -5.138211231,       -5.42017327,       -5.80969241,      -4.598196267
          0,           0,         151,      -5.146124731,      -5.429291532,      -5.812057377,       -4.60659284
          0,           0,         152,      -5.158525269,      -5.440948426,      -5.816574566,      -4.619565944
          0,           0,         153,      -5.174881981,      -5.456414185,      -5.823102045,      -4.636528347
          0,           0,         154,       -5.19304562,      -5.473869708,      -5.831851663,      -4.655103193
          0,           0,         155,      -5.213404097,      -5.491496253,      -5.843694959,      -4.675597932
          0,           0,         156,      -5.236681148,      -5.508459333,      -5.858973139,      -4.698902553
          0,           0,         157,      -5.261930716,      -5.524317276,      -5.877235678,       -4.72408378
          0,           0,         158,      -5.288505853,      -5.538517093,        -5.8981913,      -4.750471756
          0,           0,         159,      -5.314881885,      -5.551469403,      -5.922036248,      -4.776470107
          0,           0,         160,      -5.343105913,      -5.563721254,      -5.949478098,      -4.804527442
          0,           0,         161,      -5.373305302,      -5.576456124,      -5.979338617,      -4.834786093
          0,           0,         162,      -5.404409233,      -5.589903795,      -6.008257775,      -4.865872739
          0,           0,         163,      -5.436411023,      -5.604331788,      -6.034446678,      -4.897764048
          0,           0,         164,      -5.469646115,      -5.619834202,      -6.057336518,       -4.93092926
          0,           0,         165,      -5.504353089,      -5.635991488,      -6.076825703,      -4.965694741
          0,           0,         166,      -5.540891379,      -5.652456099,      -6.093667748,      -5.002444714
          0,           0,         167,      -5.579077321,      -5.669404772,      -6.108348166,      -5.040928092
          0,           0,         168,      -5.618338056,      -5.686619541,      -6.121468424,      -5.080458421
          0,           0,         169,      -5.657730475,      -5.703702542,      -6.134055409,       -5.11993346
          0,           0,         170,      -5.698115865,      -5.720480962,      -6.146992566,      -5.160347327
          0,           0,         171,      -5.740540442,      -5.736531491,      -6.160620697,      -5.202936357
