"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,          62,      -3.280679969,       -5.30352732,      -5.121993187,      -6.681325724,      -3.800006411,     -0.3032355561,     -0.6993393455,        3.72991928,       1.025950548
          0,           0,          63,       -3.28105448,      -5.303867292,      -5.121668279,      -6.668616346,      -3.800389314,     -0.3055536659,     -0.6975952327,        3.72975744,       1.028981645
          0,           0,          64,      -3.281471329,       -5.30424844,      -5.121350609,      -6.655640253,      -3.800814981,     -0.3078342425,     -0.6956818916,       3.729559753,       1.032183484
          0,           0,          65,      -3.281928747,      -5.304668944,      -5.121037032,      -6.642406612,      -3.801281662,     -0.3100863961,     -0.6936085394,       3.729329647,       1.035568543
          0,           0,          66,      -3.282424997,      -5.305127012,      -5.120724391,      -6.628924816,      -3.801787638,     -0.3123139537,     -0.6913820188,       3.729070764,       1.039149844
          0,           0,          67,      -3.282959068,      -5.305621569,      -5.120410168,      -6.615204581,      -3.802331915,     -0.3145281209,     -0.6890232271,       3.728784228,       1.042939144
          0,           0,          68,      -3.283527874,      -5.306149484,      -5.120089825,      -6.601255213,      -3.802911425,      -0.316722486,      -0.686515095,       3.728476596,       1.046952736
          0,           0,          69,      -3.284129039,      -5.306708331,      -5.119759454,      -6.587086175,      -3.803523813,     -0.3188930022,     -0.6838538506,        3.72815307,       1.051205836
          0,           0,          70,        -3.2847607,      -5.307296188,      -5.119415573,         -6.572707,      -3.804167237,      -0.321049246,     -0.6810468981,       3.727816259,       1.055712536
          0,           0,          71,      -3.285420984,      -5.307911121,      -5.119054631,      -6.558127175,      -3.804839842,     -0.3231990144,     -0.6781000184,       3.727468929,       1.060487178
          0,           0,          72,      -3.286107753,      -5.308550933,      -5.118672806,      -6.543356136,      -3.805539516,     -0.3253333354,     -0.6750110636,       3.727115864,       1.065544919
          0,           0,          73,      -3.286819102,      -5.309213655,      -5.118266425,      -6.528403214,      -3.806264373,     -0.3274528367,     -0.6717835996,       3.726760326,       1.070900233
          0,           0,          74,      -3.287553424,      -5.309897613,      -5.117832023,      -6.513277593,      -3.807012833,     -0.3295731532,     -0.6684254706,       3.726403733,       1.076566767
          0,           0,          75,      -3.288308833,      -5.310600852,      -5.117365834,      -6.497988268,      -3.807783033,     -0.3316919978,     -0.6649383512,       3.726049339,       1.082558785
          0,           0,          76,      -3.289083462,      -5.311321436,      -5.116864061,      -6.482544032,      -3.808573132,      -0.333804672,     -0.6613230909,       3.725700616,       1.088890224
          0,           0,          77,       -3.28987563,      -5.312057608,      -5.116323016,      -6.466953461,      -3.809381476,     -0.3359116722,     -0.6575840107,       3.725360075,       1.095574213
          0,           0,          78,      -3.290683805,      -5.312807758,      -5.115739085,      -6.451224899,       -3.81020656,     -0.3380153025,     -0.6537272103,       3.725029762,       1.102623132
          0,           0,          79,      -3.291508141,      -5.313571938,      -5.115110133,      -6.435366717,       -3.81104857,     -0.3401316339,     -0.6497889041,       3.724706857,       1.110045909
          0,           0,          80,      -3.292347527,      -5.314348948,      -5.114432757,      -6.419386711,      -3.811906424,     -0.3422833635,     -0.6457707527,       3.724391129,       1.117853366
          0,           0,          81,      -3.293198608,       -5.31513537,      -5.113701538,       -6.40329222,      -3.812776798,     -0.3444369217,     -0.6416410934,       3.724091203,        1.12605898
          0,           0,          82,      -3.294060077,      -5.315929802,      -5.112912823,      -6.387090498,      -3.813658417,     -0.3465964462,     -0.6374041347,       3.723808324,        1.13467182
          0,           0,          83,      -3.294930569,      -5.316730783,       -5.11206286,      -6.370788527,      -3.814549948,      -0.348755755,     -0.6330630969,       3.723544721,       1.143700141
          0,           0,          84,      -3.295809041,      -5.317537164,      -5.111148099,      -6.354393013,      -3.815450386,     -0.3509273013,     -0.6286244577,       3.723300341,       1.153150497
          0,           0,          85,      -3.296694197,      -5.318347545,      -5.110164742,      -6.337910392,      -3.816358469,     -0.3530989825,     -0.6240902775,       3.723077758,       1.163028863
          0,           0,          86,      -3.297584847,      -5.319160623,      -5.109109035,       -6.32134689,      -3.817273044,     -0.3552613116,     -0.6194624639,       3.722879035,       1.173339666
          0,           0,          87,      -3.298482367,      -5.319977643,      -5.107980333,       -6.30471316,       -3.81819552,      -0.357412716,     -0.6147445427,       3.722699342,       1.184071193
          0,           0,          88,      -3.299394067,      -5.320805736,      -5.106784731,      -6.288028959,      -3.819133228,     -0.3595760532,      -0.609984566,       3.722518295,       1.195182727
          0,           0,          89,       -3.30030989,      -5.321634817,      -5.105508396,      -6.271293066,      -3.820076166,     -0.3617425914,     -0.6051469379,       3.722360009,        1.20670885
          0,           0,          90,      -3.301230777,      -5.322465668,      -5.104149333,      -6.254511144,      -3.821025321,     -0.3639133513,     -0.6002628711,       3.722221379,       1.218645613
          0,           0,          91,      -3.302154702,      -5.323296149,       -5.10270297,      -6.237688313,      -3.821978709,     -0.3660745575,     -0.5953132624,       3.722106869,       1.230991065
          0,           0,          92,      -3.303080009,      -5.324124477,      -5.101165046,      -6.220829477,      -3.822934716,     -0.3682105702,     -0.5902877897,       3.722019779,         1.2437414
          0,           0,          93,      -3.304005883,      -5.324949687,      -5.099531988,      -6.203939361,      -3.823892571,     -0.3703138876,     -0.5851892773,        3.72196109,       1.256890756
          0,           0,          94,      -3.304932051,      -5.325771347,       -5.09780063,      -6.187022489,      -3.824852052,     -0.3723905372,        -0.5800281,       3.721929772,       1.270431716
          0,           0,          95,      -3.305861251,       -5.32659197,       -5.09597028,      -6.170083492,      -3.825815955,     -0.3744585206,     -0.5748596936,       3.721917427,       1.284353336
          0,           0,          96,      -3.306789404,       -5.32740737,      -5.094034582,        -6.1531261,      -3.826780241,     -0.3764780463,     -0.5696264217,       3.721935043,       1.298650449
          0,           0,          97,      -3.307715971,      -5.328216829,        -5.0919901,      -6.136154076,      -3.827744427,     -0.3784432048,     -0.5643322418,       3.721983014,       1.313313778
          0,           0,          98,      -3.308644837,      -5.329023959,      -5.089836864,       -6.11917132,      -3.828712464,      -0.380390781,     -0.5590390443,       3.722049868,       1.328330382
          0,           0,          99,      -3.309572156,      -5.329824789,      -5.087568823,      -6.102181074,      -3.829680556,     -0.3822811976,     -0.5536966213,       3.722145591,       1.343692371
          0,           0,         100,      -3.310502258,      -5.330623346,      -5.085186427,        -6.0851871,      -3.830653102,     -0.3841379961,      -0.548374521,       3.722257947,       1.359385457
          0,           0,         101,      -3.311430304,      -5.331414672,      -5.082682819,       -6.06819216,      -3.831625312,     -0.3859239993,     -0.5430041618,       3.722399798,       1.375401969
          0,           0,         102,      -3.312355435,      -5.332197693,      -5.080054404,      -6.051199213,      -3.832596386,     -0.3876217683,     -0.5375816178,       3.722572982,       1.391730739
          0,           0,         103,      -3.313277693,      -5.332972211,      -5.077298319,      -6.034211161,      -3.833566434,     -0.3892257147,     -0.5321151607,       3.722776702,       1.408359899
          0,           0,         104,      -3.314212514,      -5.333753069,      -5.074423243,         -6.017232,      -3.834551015,     -0.3908508941,      -0.526801117,       3.722969956,       1.425269606
          0,           0,         105,      -3.315144819,      -5.334525268,      -5.071414907,      -6.000263427,      -3.835535067,      -0.392388462,     -0.5214320709,       3.723192806,       1.442456914
