"Density_0","Density_1","Density_2","Density_3","Density_4","Momentum:0","Momentum:1","Momentum:2","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Points:0","Points:1","Points:2"
1.147678121924e-03,1.084983887267e-05,1.561025783303e-05,1.497677359907e-08,3.473603574093e-04,9.244611740112e+00,1.812697746573e-06,0.000000000000e+00,3.455439062500e+04,4.552044677734e+01,7.543002963066e-01,7.130951154977e-03,1.025968976319e-02,9.843338375504e-06,2.282992154360e-01,4.760128784180e+02,9.010246582031e+02,9.010004882812e+02,8.979879379272e+00,4.583219492815e-07,3.909116276191e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.094151429832e-02,7.382453233004e-02,0.000000000000e+00
1.147678121924e-03,1.085011263058e-05,1.561016506457e-05,1.493071266623e-08,3.473600954749e-04,9.244610786438e+00,8.989807156468e-07,0.000000000000e+00,3.455438671875e+04,4.552045822144e+01,7.543003559113e-01,7.131131365895e-03,1.025962922722e-02,9.813065844355e-06,2.282990664244e-01,4.760151977539e+02,9.010292968750e+02,9.010005493164e+02,8.979856491089e+00,5.416458179752e-07,3.909130100510e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.074083060026e-02,3.804740309715e-02,0.000000000000e+00
1.147677889094e-03,1.084952327801e-05,1.561035605846e-05,1.502760405003e-08,3.473605611362e-04,9.244610786438e+00,8.695789119884e-07,0.000000000000e+00,3.455438671875e+04,4.552042388916e+01,7.543002367020e-01,7.130744401366e-03,1.025975588709e-02,9.876747753879e-06,2.282993793488e-01,4.760100402832e+02,9.010192871094e+02,9.010003662109e+02,8.979905128479e+00,3.571184379325e-07,3.909100269084e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.594434052706e-02,5.339539796114e-02,0.000000000000e+00
1.147677889094e-03,1.084941868612e-05,1.561038880027e-05,1.504484359316e-08,3.473606484476e-04,9.244610786438e+00,9.015241744237e-07,0.000000000000e+00,3.455439062500e+04,4.552042007446e+01,7.543002367020e-01,7.130675949156e-03,1.025977823883e-02,9.888078238873e-06,2.282994389534e-01,4.760091247559e+02,9.010175170898e+02,9.010003051758e+02,8.979913711548e+00,3.246217943342e-07,3.909095175914e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.330509528518e-02,5.773413926363e-02,0.000000000000e+00
1.147678121924e-03,1.084981704480e-05,1.561026147101e-05,1.497977386578e-08,3.473603574093e-04,9.244610786438e+00,1.300720327890e-06,0.000000000000e+00,3.455438671875e+04,4.552044296265e+01,7.543002963066e-01,7.130937185138e-03,1.025969348848e-02,9.845311069512e-06,2.282992303371e-01,4.760126342773e+02,9.010242919922e+02,9.010004882812e+02,8.979881286621e+00,4.498664054609e-07,3.909115184797e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.047266766429e-02,6.194934248924e-02,0.000000000000e+00
1.147678238340e-03,1.085009353119e-05,1.561017415952e-05,1.493507184591e-08,3.473601536825e-04,9.244611740112e+00,1.848852889452e-06,0.000000000000e+00,3.455439062500e+04,4.552046203613e+01,7.543003559113e-01,7.131118327379e-03,1.025963481516e-02,9.815930752666e-06,2.282990813255e-01,4.760151062012e+02,9.010289916992e+02,9.010005493164e+02,8.979857444763e+00,5.375473506319e-07,3.909129372914e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.427821770310e-02,6.999596208334e-02,0.000000000000e+00
1.147678005509e-03,1.084962059394e-05,1.561032513564e-05,1.501210533661e-08,3.473605029285e-04,9.244610786438e+00,1.298570282415e-06,0.000000000000e+00,3.455439062500e+04,4.552043151855e+01,7.543002367020e-01,7.130807731301e-03,1.025973539799e-02,9.866561413219e-06,2.282993346453e-01,4.760109252930e+02,9.010209350586e+02,9.010004272461e+02,8.979897499084e+00,3.885918431479e-07,3.909105362254e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.745947778225e-02,6.603732705116e-02,0.000000000000e+00
1.147678121924e-03,1.085002713808e-05,1.561019053042e-05,1.494450607709e-08,3.473601536825e-04,9.244609832764e+00,3.365672398559e-07,0.000000000000e+00,3.455438671875e+04,4.552045059204e+01,7.543003559113e-01,7.131075486541e-03,1.025964785367e-02,9.822132597037e-06,2.282991111279e-01,4.760144348145e+02,9.010278320312e+02,9.010005493164e+02,8.979863166809e+00,5.140616394783e-07,3.909125734936e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.838031321764e-02,0.000000000000e+00,0.000000000000e+00
1.147678471170e-03,1.085040275939e-05,1.561007957207e-05,1.488546352846e-08,3.473599499557e-04,9.244611740112e+00,2.517890379750e-06,0.000000000000e+00,3.455439062500e+04,4.552048110962e+01,7.543004155159e-01,7.131320890039e-03,1.025957055390e-02,9.783324458112e-06,2.282989025116e-01,4.760178527832e+02,9.010342407227e+02,9.010006713867e+02,8.979832649231e+00,6.357815323099e-07,3.909145016223e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.746168896556e-02,7.752354443073e-02,0.000000000000e+00
1.147678471170e-03,1.085014446289e-05,1.561016142659e-05,1.492763246347e-08,3.473601536825e-04,9.244612693787e+00,2.498401272533e-06,0.000000000000e+00,3.455439453125e+04,4.552046966553e+01,7.543003559113e-01,7.131150923669e-03,1.025962550193e-02,9.811039490160e-06,2.282990515232e-01,4.760155944824e+02,9.010298461914e+02,9.010005493164e+02,8.979853630066e+00,5.557037070503e-07,3.909131919499e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.385055460036e-02,8.109451830387e-02,0.000000000000e+00
