"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
1597, -1.541744609340027e-01, -3.035010651947216e-01, 1.050105030288687e+00, 9.139054434011845e-01, -2.042983108592923e-02, 3.075019863286213e+00, 1.070854239090111e+00, 1.019759174751996e+00, 7.285580857483767e-01, 1.581567836832836e-01
1598, -6.824705947604515e-01, 5.118366226921849e-01, 1.014144929269863e+00, 9.376308452256380e-01, 4.197306815543855e-02, 2.984018595950179e+00, 1.019882102889188e+00, 1.005657153582038e+00, 7.799694248231356e-01, 4.437969394908040e-02
1599, 1.436874135858318e+00, -6.292848649952459e-01, 1.014792825390707e+00, 9.383463651657409e-01, 2.181796831515118e-02, 2.985775467608894e+00, 1.020684614863940e+00, 1.005805903752783e+00, 7.794388432844609e-01, 4.617101532129495e-02
1600, 1.428280815850780e+00, -5.345107964603110e-01, 1.016477172903897e+00, 9.371592041370354e-01, 2.126991686578626e-02, 2.990003536430938e+00, 1.023106280931176e+00, 1.006521649677917e+00, 7.768765164793676e-01, 5.157651993566012e-02
1601, 1.283745106057535e+00, -3.796349851539280e-01, 1.022829082942957e+00, 9.324708616830465e-01, 2.439246455346183e-02, 3.005944722629921e+00, 1.032242542936973e+00, 1.009203355820633e+00, 7.672331897479029e-01, 7.196996191288677e-02
1602, 1.210654494122103e+00, -4.093019627802672e-01, 1.023309904785743e+00, 9.321414546513935e-01, 2.896937529629332e-02, 3.007191938911999e+00, 1.032893682052815e+00, 1.009365469074668e+00, 7.666480549735746e-01, 7.342339743932011e-02
1603, 9.365820927086240e-01, -3.034221164313338e-01, 1.018956393614211e+00, 9.328129311323352e-01, 6.010816706492542e-02, 2.995997938197236e+00, 1.026899597532211e+00, 1.007795430665905e+00, 7.723044194345450e-01, 6.004374449154155e-02
1604, 9.981267452271145e-01, -3.158666541297289e-01, 1.025327406603515e+00, 9.295992494221587e-01, 5.175907294483067e-02, 3.012239262278229e+00, 1.035811418160426e+00, 1.010225037865359e+00, 7.635408238244780e-01, 7.993620125095165e-02
1605, 9.810972605229523e-01, -2.663590771013514e-01, 1.028009490880447e+00, 9.272417425817941e-01, 5.698966400467241e-02, 3.018958419530566e+00, 1.039681207638521e+00, 1.011353705254295e+00, 7.594497248575958e-01, 8.857412419312803e-02
1606, 1.428960554142860e+00, 1.126990943056353e-01, 1.013567503366459e+00, 8.946116076399426e-01, 4.293119172683886e-03, 2.971106000869662e+00, 1.030515403529581e+00, 1.016721037431479e+00, 7.398129495473333e-01, 6.811474002138554e-02
1607, 1.299274997316565e+00, 1.133002508823528e-01, 1.021802323888229e+00, 8.921781447191338e-01, 1.384341281488199e-03, 2.992809204535960e+00, 1.041323731137754e+00, 1.019104876543283e+00, 7.309905445551083e-01, 9.224047128962926e-02
1608, 1.324656924030179e+00, 4.795752021974865e-02, 1.018390894421208e+00, 8.856284355554744e-01, 6.350071595517794e-03, 2.981933656758458e+00, 1.038730834559207e+00, 1.019972625687663e+00, 7.277629334156227e-01, 8.645275571251518e-02
1609, 7.665038735206187e-01, 6.261829411513431e-01, 9.688726366807908e-01, 9.569807483485000e-01, -4.944595273969650e-02, 2.867653422759457e+00, 9.575097149053942e-01, 9.882720170379418e-01, 8.408396431553068e-01, -9.484438637188806e-02
1610, 8.727266120768788e-01, 6.103348824307373e-01, 9.935623101513346e-01, 9.465819957781483e-01, -4.065061396881418e-02, 2.930954721765350e+00, 9.916846263450794e-01, 9.981101499251022e-01, 8.066961429503191e-01, -1.856110190830499e-02
1611, 1.848355238642720e-01, 2.341821949738971e-01, 8.108515969987704e-01, 9.746594703539662e-01, 9.431711872916619e-02, 2.455566898685988e+00, 7.457206452643245e-01, 9.196758667362596e-01, 1.064275555576908e+00, -5.675878453921331e-01
1612, 2.064506188336077e-01, 2.692443023647193e-01, 8.094554233773336e-01, 9.756237005121413e-01, 8.356014987656879e-02, 2.451915188205457e+00, 7.438601565725770e-01, 9.189637070673145e-01, 1.066505970943302e+00, -5.717407219362123e-01
1613, 1.649966752422647e-01, 2.747488584310325e-01, 8.438264116134804e-01, 9.766772680887522e-01, 1.058580942825001e-01, 2.543013357265415e+00, 7.884605658184104e-01, 9.343871618225307e-01, 1.017903456206019e+00, -4.721862370124770e-01
1614, 1.571288755101224e+00, -3.961822291878558e-01, 1.015231672939486e+00, 9.372425757646201e-01, 1.700597772896963e-02, 2.986641553879626e+00, 1.021550743844114e+00, 1.006224264936821e+00, 7.779414630509579e-01, 4.810433893775358e-02
1615, -2.807503215594319e-01, 1.303029126777323e-01, 1.052052200145229e+00, 9.103190224726337e-01, 5.784817841297560e-02, 3.079809501239233e+00, 1.073751585408576e+00, 1.020625768626643e+00, 7.253275501637383e-01, 1.646240745727137e-01
