"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
11486, 9.811085962502921e-01, 2.840733432068255e-01, 1.209955832147134e-02, 1.008963256461227e+00, 9.612249221750475e-01, 4.490380718707452e-03, -1.094859584949277e-01, 3.049365636137487e+00, 1.034217062258302e+00, 1.011360026202511e+00, 8.004261376907877e-01, 4.140233807372829e-02
11487, 9.953872512066850e-01, 2.096952082503827e-01, 1.854801891996902e-01, 1.015944600267316e+00, 9.840985729858057e-01, -5.570475063283179e-03, -5.476066658866203e-02, 3.073632096113383e+00, 1.038206236633650e+00, 1.008284390078510e+00, 8.111030437936350e-01, 4.938068682442332e-02
11488, 1.031934674911437e+00, 3.317237583193980e-01, 1.428424860536599e-01, 1.022142095456459e+00, 9.765985849852841e-01, -6.825553829315740e-03, -6.242809060936066e-02, 3.088792888900389e+00, 1.048128600654824e+00, 1.011748884111538e+00, 7.990707422791332e-01, 6.922541486677149e-02
11489, 9.402259310178291e-01, 1.574257057498313e-01, 5.968624714087844e-02, 1.009755403638656e+00, 9.711203817582320e-01, 5.461437540698551e-04, -9.531336087348816e-02, 3.053843510312507e+00, 1.032945250526390e+00, 1.009323892225410e+00, 8.075029967430707e-01, 3.885871460990265e-02
11490, 9.719868028656935e-01, 2.267933501685181e-01, 1.008302393801902e-01, 1.016487641667806e+00, 9.763754641046871e-01, -3.908257575654804e-03, -7.893450064691059e-02, 3.073453103870492e+00, 1.040583082585653e+00, 1.010052841484425e+00, 8.049733106623908e-01, 5.413437872842897e-02
11491, 1.015400260803487e+00, 3.339686523993054e-01, 6.714755625995011e-02, 1.025769940942783e+00, 9.663451182107168e-01, -4.635754906821607e-04, -8.407857333617552e-02, 3.096468164478996e+00, 1.055136323951483e+00, 1.014911193708931e+00, 7.880008212201941e-01, 8.324086146008904e-02
11492, 1.022731661574199e+00, 3.339218702614651e-01, 8.785610298811405e-03, 1.033476838744593e+00, 9.513845277518109e-01, 1.548763917035591e-02, -1.123989940313495e-01, 3.114607537265729e+00, 1.068189121552086e+00, 1.019804301152534e+00, 7.706980741608040e-01, 1.093464566612950e-01
11493, 1.141563851030718e+00, 5.029448630404082e-01, 6.562719551141659e-02, 1.061886294473015e+00, 9.449610496567525e-01, 1.034851805216009e-02, -4.951064627040989e-02, 3.190315984561941e+00, 1.107462425573298e+00, 1.029011957273614e+00, 7.375095378672302e-01, 1.878930647037196e-01
11494, 1.104134805074795e+00, 4.080106335242188e-01, 9.906653893946812e-02, 1.046693865431227e+00, 9.607230534700122e-01, 2.141662917856250e-03, -4.841924558423336e-02, 3.152215393716506e+00, 1.084074612852104e+00, 1.021901253620657e+00, 7.632146644992097e-01, 1.411174392613313e-01
11495, 1.106115805458129e+00, 4.932497164188797e-01, 8.047577357374711e-02, 1.044674401785901e+00, 9.560221405714685e-01, 2.772322980711135e-03, -6.341851398956661e-02, 3.145619054513909e+00, 1.082497565063512e+00, 1.022387219007272e+00, 7.614743120470792e-01, 1.379633436841466e-01
11496, 1.058666365813714e+00, 3.870452236735224e-01, 4.768442853794440e-02, 1.046009107616021e+00, 9.492190334074840e-01, 1.037905756106578e-02, -8.956216268474571e-02, 3.148107094569201e+00, 1.085411487300396e+00, 1.023831257110725e+00, 7.562890799966103e-01, 1.437911881579148e-01
11497, 1.089772668554760e+00, 4.201376776727162e-01, 3.527088990064371e-02, 1.066435334914666e+00, 9.382294990849943e-01, 1.774791166362931e-02, -7.839616074568669e-02, 3.201777676144631e+00, 1.114412090986712e+00, 1.031052371753538e+00, 7.300336329037040e-01, 2.017923955305472e-01
11498, 1.028799852951019e+00, 1.400418391960478e-01, 1.993391297314467e-01, 1.023897800647351e+00, 9.828332001942881e-01, -1.425256527810526e-03, -4.694654364617975e-02, 3.095100984946551e+00, 1.048926381211228e+00, 1.010782780724109e+00, 8.024358720360975e-01, 7.082097597957972e-02
11499, 1.065545988147942e+00, 3.651028234170908e-01, 1.055884925280832e-01, 1.039706336013643e+00, 9.678980054573564e-01, 3.560923701345133e-04, -6.202997604340263e-02, 3.134970968534193e+00, 1.073038370834052e+00, 1.018295907230237e+00, 7.760553046678192e-01, 1.190449552252271e-01
11500, 1.090243313025546e+00, 3.027090332324308e-01, 1.425435536143712e-01, 1.039887354499061e+00, 9.698052529675524e-01, 1.231775672857482e-05, -4.173742290986394e-02, 3.135690191266480e+00, 1.073051785773630e+00, 1.018131375620680e+00, 7.766383784057314e-01, 1.190717851043828e-01
11501, 1.118836661368478e+00, 3.449051504426487e-01, 6.743169114352987e-02, 1.061083079872666e+00, 9.493166098367116e-01, 1.361944407591654e-02, -3.480568514681513e-02, 3.189039580201568e+00, 1.105487975401269e+00, 1.027954922071703e+00, 7.413643327169875e-01, 1.839441643596609e-01
