"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         180,       -1.62690121,       1.418193572,       1.549844255,       5.520137271,      -1.841141143
          0,           0,         181,      -1.629385019,       1.422191632,       1.546683656,       5.515009597,      -1.843295022
          0,           0,         182,      -1.630949461,       1.426315785,       1.544114434,       5.511061984,      -1.844467618
          0,           0,         183,      -1.631142255,       1.430412868,       1.542098516,       5.509247941,       -1.84488831
          0,           0,         184,      -1.630476803,       1.433774863,       1.540761601,       5.509016035,      -1.844166664
          0,           0,         185,      -1.628592889,       1.436736595,       1.540883548,        5.51074852,       -1.84255242
          0,           0,         186,      -1.625946705,       1.438640086,       1.542803889,       5.513876022,      -1.840110367
          0,           0,         187,       -1.62229828,       1.439735256,       1.546959315,        5.51857309,      -1.837413244
          0,           0,         188,      -1.618605761,       1.439307316,       1.551861278,       5.523960225,      -1.834729527
          0,           0,         189,      -1.615336129,       1.437894487,       1.556797315,       5.529239827,       -1.83232754
          0,           0,         190,      -1.612692594,       1.436416746,       1.561380604,       5.533887111,      -1.830311652
          0,           0,         191,      -1.610670916,       1.434986216,       1.565603089,       5.537779799,      -1.828771536
          0,           0,         192,      -1.609327534,       1.433269046,        1.56922136,       5.540725293,      -1.827543394
          0,           0,         193,      -1.608468448,       1.431130349,       1.571979654,       5.542993371,      -1.826742424
          0,           0,         194,      -1.608206522,       1.428746123,       1.573815396,       5.544352735,      -1.826400096
          0,           0,         195,      -1.608556816,       1.426187536,       1.574638245,       5.544745397,      -1.826548519
          0,           0,         196,      -1.609516641,       1.424005018,       1.574454932,       5.544119455,      -1.827133962
          0,           0,         197,      -1.610968236,       1.422623079,       1.573403011,       5.542604552,      -1.828145227
          0,           0,         198,      -1.612844343,       1.421847546,       1.571650365,       5.540253951,      -1.829520699
          0,           0,         199,      -1.615035247,       1.421720276,       1.569356263,       5.537208421,      -1.831068931
          0,           0,         200,      -1.617356211,        1.42228984,       1.566709118,       5.533754707,      -1.832867395
          0,           0,         201,      -1.619789126,        1.42352909,       1.563719304,       5.529884029,      -1.835107957
          0,           0,         202,       -1.62244935,        1.42532756,        1.56028413,       5.525367365,      -1.837570155
          0,           0,         203,      -1.625103108,       1.427602178,        1.55672737,       5.520544492,      -1.839828155
          0,           0,         204,      -1.627229635,       1.430405636,       1.553413219,       5.516208939,      -1.841472041
          0,           0,         205,      -1.628409911,       1.433290265,       1.550565199,        5.51314846,      -1.842390524
          0,           0,         206,      -1.628468662,       1.436454956,       1.548412388,       5.511837729,      -1.842642515
          0,           0,         207,      -1.627864091,       1.439053387,       1.546998952,       5.511733069,      -1.842074698
          0,           0,         208,      -1.626336076,       1.441390899,       1.547236094,       5.513081213,      -1.840846141
          0,           0,         209,      -1.624233218,       1.442884329,       1.549258943,       5.515443467,      -1.838812391
          0,           0,         210,      -1.621287734,       1.443846843,       1.553374609,       5.519097681,      -1.836537604
          0,           0,         211,      -1.618032944,       1.443845501,        1.55854902,       5.523597602,      -1.834306129
          0,           0,         212,      -1.615127538,       1.442747207,       1.563727939,       5.527993397,      -1.832273683
          0,           0,         213,      -1.612710084,       1.440854278,       1.568470663,       5.532001538,      -1.830567417
          0,           0,         214,      -1.610886902,       1.438106164,       1.572572796,         5.5353692,      -1.829196771
          0,           0,         215,      -1.609679223,       1.434609579,       1.575843396,       5.537974199,      -1.828060879
          0,           0,         216,      -1.608924517,       1.430585237,       1.578144194,       5.540024936,      -1.827293989
          0,           0,         217,      -1.608726562,       1.426767131,       1.579621857,       5.541254837,      -1.826928525
          0,           0,         218,      -1.609009129,       1.424281569,       1.580305044,       5.541711768,      -1.826973947
          0,           0,         219,      -1.609764554,       1.422833836,       1.580134839,       5.541367273,      -1.827417206
          0,           0,         220,      -1.610981779,       1.422173138,       1.579110085,       5.540208221,      -1.828225435
          0,           0,         221,      -1.612623999,       1.422138545,       1.577278543,       5.538267377,      -1.829395215
          0,           0,         222,      -1.614668478,       1.422654333,       1.574715224,       5.535555866,        -1.8308267
          0,           0,         223,      -1.616909408,       1.424385212,       1.571801423,       5.532331329,      -1.832382991
          0,           0,         224,      -1.619140543,       1.426995154,       1.568805243,       5.528872095,      -1.834279444
          0,           0,         225,       -1.62147046,       1.430126809,       1.565665526,       5.524945365,      -1.836263115
          0,           0,         226,      -1.623626293,       1.433627053,       1.562588535,       5.520938211,      -1.838146682
          0,           0,         227,      -1.625342303,       1.437232305,       1.559756646,       5.517310944,      -1.839487264
          0,           0,         228,       -1.62614806,       1.440386802,       1.557291896,       5.514924229,      -1.840345016
          0,           0,         229,      -1.626184511,        1.44259335,       1.555361583,       5.513770938,      -1.840660748
          0,           0,         230,      -1.625693685,       1.443918937,        1.55411487,       5.513575105,      -1.840321569
