"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         158,      -7.705547158,      -7.593771005,      -7.809098337,      -7.517641038,      -7.146991952
          0,           0,         159,      -7.725670114,       -7.61529155,      -7.822727285,      -7.533255656,      -7.167328958
          0,           0,         160,      -7.745735813,      -7.636588983,      -7.835540181,      -7.548841382,      -7.187709137
          0,           0,         161,      -7.765804136,      -7.657643479,      -7.847608757,      -7.564406232,      -7.208170671
          0,           0,         162,       -7.78593269,      -7.678433775,      -7.859031989,      -7.579943078,      -7.228743685
          0,           0,         163,      -7.806170901,      -7.698937031,      -7.869924319,      -7.595432484,      -7.249445824
          0,           0,         164,      -7.826556143,      -7.719128842,      -7.880407211,      -7.610845528,      -7.270280057
          0,           0,         165,       -7.84711103,      -7.738983707,      -7.890603572,      -7.626147066,       -7.29123375
          0,           0,         166,        -7.8678417,      -7.758475995,      -7.900632065,      -7.641298567,       -7.31227852
          0,           0,         167,      -7.888737331,       -7.77758133,      -7.910605178,      -7.656261537,      -7.333371432
          0,           0,         168,      -7.909770861,       -7.79627793,      -7.920625156,      -7.671000654,      -7.354457237
          0,           0,         169,      -7.930900981,       -7.81454804,      -7.930782425,      -7.685486809,      -7.375471939
          0,           0,         170,      -7.952075337,      -7.832380472,      -7.941153507,      -7.699699476,      -7.396347402
          0,           0,         171,      -7.973234989,      -7.849771531,      -7.951800748,      -7.713628963,      -7.417017096
          0,           0,         172,      -7.994318289,      -7.866725925,      -7.962773265,      -7.727277912,      -7.437420478
          0,           0,         173,      -8.015265794,       -7.88325785,      -7.974108314,      -7.740661933,      -7.457508144
          0,           0,         174,      -8.036024852,      -7.899390937,      -7.985832113,      -7.753809528,      -7.477245714
          0,           0,         175,      -8.056555399,      -7.915157464,        -7.9979596,      -7.766760742,      -7.496618413
          0,           0,         176,      -8.076831825,      -7.930597968,      -8.010497359,      -7.779565756,      -7.515630937
          0,           0,         177,      -8.096844806,      -7.945759951,      -8.023445902,      -7.792282964,      -7.534307006
          0,           0,         178,      -8.116602138,      -7.960696048,      -8.036797977,      -7.804976082,        -7.5526878
          0,           0,         179,      -8.136126536,      -7.975461984,       -8.05054118,      -7.817711662,      -7.570827439
          0,           0,         180,      -8.155452172,      -7.990113703,      -8.064658378,      -7.830556061,      -7.588787335
          0,           0,         181,      -8.174621684,      -8.004705362,      -8.079128733,      -7.843572913,      -7.606632023
          0,           0,         182,       -8.19368201,      -8.019287355,       -8.09392843,      -7.856820922,      -7.624424458
          0,           0,         183,      -8.212679102,      -8.033905593,      -8.109031211,      -7.870351451,      -7.642220975
          0,           0,         184,      -8.231655939,      -8.048599861,      -8.124408197,      -7.884207526,        -7.6600694
          0,           0,         185,      -8.250647276,       -8.06340196,      -8.140027486,      -7.898422112,      -7.678004508
          0,           0,         186,      -8.269676873,       -8.07833544,      -8.155854302,      -7.913017161,      -7.696046269
          0,           0,         187,      -8.288757065,      -8.093416355,       -8.17185189,      -7.928002838,      -7.714200716
          0,           0,         188,      -8.307888255,      -8.108653369,      -8.187981863,      -7.943377069,      -7.732460412
          0,           0,         189,      -8.327059273,      -8.124048047,      -8.204204206,      -7.959125066,      -7.750805632
          0,           0,         190,      -8.346249107,      -8.139595653,       -8.22047861,      -7.975219907,      -7.769206618
          0,           0,         191,      -8.365429216,      -8.155286427,      -8.236765452,      -7.991622508,      -7.787626482
          0,           0,         192,      -8.384566573,      -8.171106757,      -8.253028861,      -8.008282435,      -7.806024871
          0,           0,         193,      -8.403627426,      -8.187040785,      -8.269237356,      -8.025138876,      -7.824361919
          0,           0,         194,      -8.422580906,      -8.203071784,      -8.285365358,      -8.042122458,       -7.84260196
          0,           0,         195,      -8.441402713,      -8.219183371,      -8.301394727,      -8.059157555,      -7.860717034
          0,           0,         196,      -8.460078121,      -8.235360849,      -8.317315335,       -8.07616525,       -7.87868972
          0,           0,         197,       -8.47860321,       -8.25159261,      -8.333126078,      -8.093066803,      -7.896514318
          0,           0,         198,      -8.496986192,      -8.267871136,      -8.348835288,      -8.109787336,      -7.914197976
          0,           0,         199,      -8.515247961,      -8.284193689,       -8.36446117,      -8.126259753,      -7.931761064
          0,           0,         200,      -8.533420808,      -8.300562657,      -8.380032025,      -8.142428504,      -7.949235798
          0,           0,         201,      -8.551546552,      -8.316985554,      -8.395585905,      -8.158252968,      -7.966664176
          0,           0,         202,      -8.569674694,      -8.333474987,      -8.411169569,      -8.173710371,      -7.984095902
          0,           0,         203,      -8.587859342,      -8.350048395,      -8.426837457,      -8.188797902,      -8.001585583
          0,           0,         204,      -8.606151372,      -8.366725033,      -8.442647589,       -8.20353256,      -8.019184904
          0,           0,         205,      -8.624599221,       -8.38352688,      -8.458661502,      -8.217950996,      -8.036944063
          0,           0,         206,      -8.643245848,      -8.400477825,       -8.47494092,      -8.232107935,      -8.054908834
          0,           0,         207,       -8.66212703,      -8.417602864,      -8.491545791,      -8.246073304,      -8.073119209
          0,           0,         208,      -8.681268097,      -8.434926897,      -8.508532868,      -8.259928612,      -8.091606278
          0,           0,         209,      -8.700683968,      -8.452473501,      -8.525953989,        -8.2737632,       -8.11039195
          0,           0,         210,      -8.720376812,      -8.470263592,      -8.543856955,      -8.287669744,       -8.12948697
          0,           0,         211,      -8.740338581,      -8.488315026,      -8.562281404,      -8.301741118,      -8.148892462
          0,           0,         212,      -8.760549653,      -8.506641872,      -8.581258086,      -8.316067169,      -8.168598815
          0,           0,         213,      -8.780980704,      -8.525253858,       -8.60080846,      -8.330732325,      -8.188587424
          0,           0,         214,      -8.801592293,      -8.544155573,      -8.620942737,      -8.345813873,      -8.208829657
          0,           0,         215,      -8.822338103,      -8.563346353,      -8.641657978,      -8.361380217,       -8.22928938
          0,           0,         216,      -8.843168247,      -8.582820432,      -8.662936133,      -8.377489617,       -8.24992559
          0,           0,         217,      -8.864030842,      -8.602567081,      -8.684741713,      -8.394189091,       -8.27069413
          0,           0,         218,      -8.884874419,      -8.622571114,       -8.70702072,      -8.411513471,      -8.291550119
          0,           0,         219,      -8.905649112,      -8.642813254,      -8.729699597,      -8.429484502,      -8.312449291
          0,           0,         220,      -8.926308792,      -8.663270596,      -8.752684758,      -8.448110175,      -8.333349885
          0,           0,         221,      -8.946813043,      -8.683917007,      -8.775862349,      -8.467384133,      -8.354214437
          0,           0,         222,      -8.967128171,      -8.704723453,      -8.799098779,      -8.487284963,      -8.375010492
          0,           0,         223,      -8.987227238,      -8.725658564,       -8.82224282,      -8.507775467,      -8.395710549
          0,           0,         224,      -9.007090264,      -8.746689069,      -8.845129923,       -8.52880196,      -8.416292318
          0,           0,         225,      -9.026703874,      -8.767780545,      -8.867589144,      -8.550293933,      -8.436739074
          0,           0,         226,       -9.04606057,      -8.788898296,      -8.889452602,       -8.57216394,      -8.457039834
          0,           0,         227,      -9.065157496,      -8.810008736,      -8.910566333,      -8.594308124,      -8.477188914
          0,           0,         228,      -9.083996514,      -8.831080832,       -8.93080178,       -8.61660756,      -8.497186888
          0,           0,         229,      -9.102582562,      -8.852087335,      -8.950066053,      -8.638930626,      -8.517039323
          0,           0,         230,      -9.120923336,      -8.873005921,      -8.968309862,      -8.661136458,      -8.536756488
          0,           0,         231,      -9.139028808,      -8.893819318,      -8.985532167,      -8.683079855,      -8.556352163
          0,           0,         232,       -9.15690986,      -8.914515704,      -9.001780477,      -8.704617348,      -8.575841283
          0,           0,         233,      -9.174579837,      -8.935088736,      -9.017146808,      -8.725614341,      -8.595240588
          0,           0,         234,      -9.192054006,      -8.955537504,      -9.031761138,      -8.745952474,      -8.614567373
          0,           0,         235,      -9.209349866,      -8.975865787,      -9.045781437,      -8.765537021,      -8.633838529
          0,           0,         236,      -9.226487625,      -8.996081406,      -9.059383558,      -8.784302936,      -8.653070445
          0,           0,         237,      -9.243490099,      -9.016195225,      -9.072750746,      -8.802219197,      -8.672278294
          0,           0,         238,      -9.260382882,      -9.036219998,      -9.086064542,      -8.819290544,      -8.691475581
          0,           0,         239,      -9.277194524,      -9.056169459,      -9.099497486,      -8.835556508,      -8.710674365
          0,           0,         240,      -9.293957045,      -9.076057437,      -9.113207674,      -8.851087869,      -8.729886253
          0,           0,         241,      -9.310702329,      -9.095896253,      -9.127335053,      -8.865981086,      -8.749118322
          0,           0,         242,      -9.327464018,       -9.11569613,      -9.141998909,      -8.880350903,      -8.768376521
          0,           0,         243,      -9.344275482,      -9.135464816,      -9.157298032,       -8.89432325,      -8.787664184
          0,           0,         244,      -9.361169054,      -9.155206457,      -9.173310318,      -8.908028127,      -8.806981883
          0,           0,         245,      -9.378174459,      -9.174921491,      -9.190093662,      -8.921593437,      -8.826326883
          0,           0,         246,      -9.395317858,      -9.194606231,      -9.207687251,       -8.93514001,      -8.845693287
          0,           0,         247,      -9.412620928,      -9.214253187,      -9.226112525,      -8.948778086,      -8.865071866
          0,           0,         248,      -9.430099685,      -9.233851387,      -9.245374678,      -8.962604967,      -8.884450094
          0,           0,         249,      -9.447764225,      -9.253387171,      -9.265462396,      -8.976703824,      -8.903812982
          0,           0,         250,      -9.465617346,      -9.272845416,      -9.286348169,      -8.991143423,      -8.923142951
          0,           0,         251,      -9.483654705,       -9.29221027,      -9.307988105,      -9.005978248,      -8.942420023
          0,           0,         252,      -9.501864299,      -9.311466251,      -9.330322316,      -9.021248814,      -8.961621871
          0,           0,         253,      -9.520227501,      -9.330598959,      -9.353275943,      -9.036982564,      -8.980724874
          0,           0,         254,      -9.538719777,      -9.349596619,      -9.376760335,      -9.053194606,      -8.999705427
          0,           0,         255,      -9.557311141,       -9.36845146,      -9.400674803,      -9.069888941,      -9.018541059
          0,           0,         256,       -9.57596796,      -9.387160935,      -9.424909023,      -9.087059696,       -9.03721268
          0,           0,         257,      -9.594654478,       -9.40572904,      -9.449345988,      -9.104692636,      -9.055705899
          0,           0,         258,      -9.613335185,       -9.42416635,      -9.473865092,      -9.122766686,      -9.074012566
          0,           0,         259,      -9.631976224,      -9.442489036,      -9.498347694,      -9.141255558,       -9.09213077
          0,           0,         260,       -9.65054757,      -9.460718815,      -9.522682656,      -9.160129343,      -9.110065387
          0,           0,         261,      -9.669024675,      -9.478881191,       -9.54677095,      -9.179356423,       -9.12782816
          0,           0,         262,      -9.687390243,      -9.497004525,       -9.57053026,      -9.198905215,      -9.145437614
          0,           0,         263,      -9.705633949,      -9.515119819,      -9.593899765,      -9.218745713,      -9.162917338
          0,           0,         264,      -9.723754131,      -9.533259526,      -9.616840056,      -9.238851217,      -9.180297626
          0,           0,         265,      -9.741757487,      -9.551456437,      -9.639335049,      -9.259199705,      -9.197613085
          0,           0,         266,      -9.759658493,       -9.56974331,      -9.661387746,      -9.279774834,      -9.214902354
          0,           0,         267,      -9.777477862,      -9.588151059,      -9.683018003,      -9.300567019,      -9.232205539
          0,           0,         268,       -9.79524089,       -9.60670799,      -9.704258111,       -9.32157367,       -9.24956299
          0,           0,         269,      -9.812976196,      -9.625438027,      -9.725148186,      -9.342799253,      -9.267013774
          0,           0,         270,      -9.830713221,       -9.64436003,      -9.745730721,      -9.364255157,      -9.284593542
          0,           0,         271,      -9.848480713,      -9.663486695,      -9.766046706,      -9.385959102,      -9.302333828
          0,           0,         272,      -9.866304748,      -9.682823865,      -9.786131427,      -9.407934131,      -9.320259397
          0,           0,         273,      -9.884208744,      -9.702370972,      -9.806011172,      -9.430207575,      -9.338390434
          0,           0,         274,      -9.902210871,      -9.722120208,      -9.825701695,      -9.452809782,      -9.356740145
          0,           0,         275,       -9.92032466,      -9.742056963,      -9.845207715,      -9.475772768,       -9.37531475
          0,           0,         276,      -9.938557856,      -9.762161203,      -9.864523402,      -9.499128921,       -9.39411495
          0,           0,         277,      -9.956911145,      -9.782407517,      -9.883635664,      -9.522909493,      -9.413133855
          0,           0,         278,       -9.97538006,      -9.802766356,       -9.90252725,      -9.547143354,      -9.432359355
          0,           0,         279,      -9.993953992,      -9.823205303,      -9.921181942,      -9.571855622,        -9.4517735
