"Density_0","Density_1","Density_2","Density_3","Density_4","Momentum:0","Momentum:1","Momentum:2","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity_tr","Thermal_Conductivity_ve","Heat_Flux","Y_Plus","Points:0","Points:1","Points:2"
1.147678005509e-03,1.084988161892e-05,1.561023782415e-05,1.496825063896e-08,3.473602700979e-04,9.244609832764e+00,2.667847240900e-07,0.000000000000e+00,3.455438671875e+04,4.552044296265e+01,7.543002963066e-01,7.130980025977e-03,1.025967858732e-02,9.837738616625e-06,2.282991856337e-01,4.760131530762e+02,9.010253906250e+02,9.010004882812e+02,8.979875564575e+00,4.686233125994e-07,3.909118458978e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130504608154e-02,2.939710859209e-03,0.000000000000e+00,0.000000000000e+00,-5.844841524959e-02,0.000000000000e+00,0.000000000000e+00
1.147678005509e-03,1.084983432520e-05,1.561025419505e-05,1.497617674318e-08,3.473603283055e-04,9.244609832764e+00,5.742406870013e-07,0.000000000000e+00,3.455438671875e+04,4.552043914795e+01,7.543002963066e-01,7.130948826671e-03,1.025968883187e-02,9.842947292782e-06,2.282992154360e-01,4.760127563477e+02,9.010245971680e+02,9.010004882812e+02,8.979879379272e+00,4.541125520063e-07,3.909116276191e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130500882864e-02,2.939708763734e-03,0.000000000000e+00,0.000000000000e+00,-5.385249480605e-02,3.063105978072e-02,0.000000000000e+00
1.147678238340e-03,1.085023541236e-05,1.561012504681e-05,1.491045331647e-08,3.473600081634e-04,9.244609832764e+00,5.733174930356e-07,0.000000000000e+00,3.455438281250e+04,4.552046203613e+01,7.543004155159e-01,7.131211925298e-03,1.025960315019e-02,9.799750841921e-06,2.282989919186e-01,4.760162658691e+02,9.010313720703e+02,9.010006103516e+02,8.979846000671e+00,5.796299547001e-07,3.909136285074e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130531802773e-02,2.939726226032e-03,0.000000000000e+00,0.000000000000e+00,-5.458657443523e-02,2.384822443128e-02,0.000000000000e+00
1.147678121924e-03,1.085009807866e-05,1.561017052154e-05,1.493317469681e-08,3.473601245787e-04,9.244610786438e+00,9.425786515749e-07,0.000000000000e+00,3.455438671875e+04,4.552045440674e+01,7.543003559113e-01,7.131122052670e-03,1.025963295251e-02,9.814684744924e-06,2.282990664244e-01,4.760150756836e+02,9.010290527344e+02,9.010005493164e+02,8.979857444763e+00,5.371838369683e-07,3.909129372914e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130521371961e-02,2.939720405266e-03,0.000000000000e+00,0.000000000000e+00,-5.046314746141e-02,3.945705667138e-02,0.000000000000e+00
1.147678587586e-03,1.085078019969e-05,1.560995406180e-05,1.482296152489e-08,3.473596298136e-04,9.244610786438e+00,1.952682168849e-06,0.000000000000e+00,3.455438671875e+04,4.552049636841e+01,7.543004751205e-01,7.131569087505e-03,1.025948952883e-02,9.742246220412e-06,2.282987087965e-01,4.760211181641e+02,9.010405883789e+02,9.010007934570e+02,8.979801177979e+00,7.519875566686e-07,3.909163933713e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130573898554e-02,2.939750207588e-03,0.000000000000e+00,0.000000000000e+00,-4.143868014216e-02,5.534691363573e-02,0.000000000000e+00
1.147678354755e-03,1.085049734684e-05,1.561004319228e-05,1.486857570399e-08,3.473598335404e-04,9.244610786438e+00,1.444743475076e-06,0.000000000000e+00,3.455438671875e+04,4.552048110962e+01,7.543004155159e-01,7.131383288652e-03,1.025954820216e-02,9.772225894267e-06,2.282988578081e-01,4.760186157227e+02,9.010358276367e+02,9.010006713867e+02,8.979824066162e+00,6.624803177147e-07,3.909149381798e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130551919341e-02,2.939737634733e-03,0.000000000000e+00,0.000000000000e+00,-4.646046087146e-02,4.700959101319e-02,0.000000000000e+00
1.147678587586e-03,1.085035273718e-05,1.561009412399e-05,1.489335765825e-08,3.473600081634e-04,9.244612693787e+00,2.612985781525e-06,0.000000000000e+00,3.455439062500e+04,4.552048110962e+01,7.543004155159e-01,7.131287828088e-03,1.025958079845e-02,9.788512215891e-06,2.282989323139e-01,4.760174255371e+02,9.010333862305e+02,9.010006103516e+02,8.979836463928e+00,6.208605896063e-07,3.909142469638e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130541115999e-02,2.939731581137e-03,0.000000000000e+00,0.000000000000e+00,-2.385055460036e-02,8.109451830387e-02,0.000000000000e+00
1.147678471170e-03,1.085016447178e-05,1.561015596963e-05,1.492434265060e-08,3.473601536825e-04,9.244612693787e+00,2.663331770236e-06,0.000000000000e+00,3.455439453125e+04,4.552046966553e+01,7.543003559113e-01,7.131163496524e-03,1.025962084532e-02,9.808877621253e-06,2.282990366220e-01,4.760158081055e+02,9.010302124023e+02,9.010005493164e+02,8.979851722717e+00,5.625923904518e-07,3.909133010893e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130526587367e-02,2.939723199233e-03,0.000000000000e+00,0.000000000000e+00,-2.011928521097e-02,8.453981578350e-02,0.000000000000e+00
1.147678936832e-03,1.085123949451e-05,1.560981036164e-05,1.474934840928e-08,3.473593096714e-04,9.244611740112e+00,2.926687329818e-06,0.000000000000e+00,3.455438671875e+04,4.552052688599e+01,7.543005943298e-01,7.131869904697e-03,1.025939360261e-02,9.693862921267e-06,2.282984554768e-01,4.760252075195e+02,9.010484008789e+02,9.010009155273e+02,8.979763031006e+00,8.973774470178e-07,3.909186852979e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130609288812e-02,2.939770231023e-03,0.000000000000e+00,0.000000000000e+00,-3.510490804911e-02,6.342715024948e-02,0.000000000000e+00
1.147679169662e-03,1.085072835849e-05,1.560998680361e-05,1.483546263614e-08,3.473598335404e-04,9.244615554810e+00,4.571847057377e-06,0.000000000000e+00,3.455440234375e+04,4.552051544189e+01,7.543004751205e-01,7.131530903280e-03,1.025950536132e-02,9.750457138580e-06,2.282987385988e-01,4.760209350586e+02,9.010397949219e+02,9.010007324219e+02,8.979804992676e+00,7.454880801561e-07,3.909161387128e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130570173264e-02,2.939747879282e-03,0.000000000000e+00,0.000000000000e+00,-4.190427716821e-03,9.713054448366e-02,0.000000000000e+00
