"Density_0","Density_1","Density_2","Density_3","Density_4","Momentum:0","Momentum:1","Momentum:2","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity_tr","Thermal_Conductivity_ve","Heat_Flux","Y_Plus","Points:0","Points:1","Points:2"
1.147677772678e-03,1.084935320250e-05,1.561041062814e-05,1.505557989390e-08,3.473607066553e-04,9.244610786438e+00,8.793788879302e-07,0.000000000000e+00,3.455439062500e+04,4.552041625977e+01,7.543001770973e-01,7.130633108318e-03,1.025979220867e-02,9.895135008264e-06,2.282994836569e-01,4.760085449219e+02,9.010164184570e+02,9.010003051758e+02,8.979919433594e+00,3.041903937628e-07,3.909091901733e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130464002490e-02,2.939687808976e-03,0.000000000000e+00,0.000000000000e+00,-4.330509528518e-02,5.773413926363e-02,0.000000000000e+00
1.147677889094e-03,1.084954510588e-05,1.561034878250e-05,1.502397495301e-08,3.473605611362e-04,9.244610786438e+00,9.088158776649e-07,0.000000000000e+00,3.455438671875e+04,4.552042388916e+01,7.543002367020e-01,7.130758836865e-03,1.025975123048e-02,9.874362149276e-06,2.282993793488e-01,4.760102233887e+02,9.010196533203e+02,9.010003662109e+02,8.979903221130e+00,3.641084731498e-07,3.909101724275e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130478531122e-02,2.939696190879e-03,0.000000000000e+00,0.000000000000e+00,-4.594434052706e-02,5.339539796114e-02,0.000000000000e+00
1.147677772678e-03,1.084933228412e-05,1.561041608511e-05,1.505877555985e-08,3.473607066553e-04,9.244610786438e+00,6.178616445141e-07,0.000000000000e+00,3.455438671875e+04,4.552041244507e+01,7.543001770973e-01,7.130619138479e-03,1.025979686528e-02,9.897235941025e-06,2.282994836569e-01,4.760083312988e+02,9.010160522461e+02,9.010003051758e+02,8.979921340942e+00,2.970585626372e-07,3.909090810339e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130462139845e-02,2.939686877653e-03,0.000000000000e+00,0.000000000000e+00,-4.837860912085e-02,4.893845319748e-02,0.000000000000e+00
1.147678587586e-03,1.085080020857e-05,1.560994678584e-05,1.481951628080e-08,3.473596007098e-04,9.244610786438e+00,1.925105152623e-06,0.000000000000e+00,3.455438671875e+04,4.552050018311e+01,7.543004751205e-01,7.131582126021e-03,1.025948487222e-02,9.739981578605e-06,2.282986938953e-01,4.760213012695e+02,9.010409545898e+02,9.010007934570e+02,8.979799270630e+00,7.582477223878e-07,3.909165025107e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130575388670e-02,2.939750906080e-03,0.000000000000e+00,0.000000000000e+00,-4.208176210523e-02,5.416674911976e-02,0.000000000000e+00
1.147679053247e-03,1.085170970327e-05,1.560965938552e-05,1.467296861790e-08,3.473589022178e-04,9.244611740112e+00,2.572086714281e-06,0.000000000000e+00,3.455438281250e+04,4.552054977417e+01,7.543007135391e-01,7.132178172469e-03,1.025929395109e-02,9.643663361203e-06,2.282982021570e-01,4.760292663574e+02,9.010563354492e+02,9.010010986328e+02,8.979723930359e+00,1.042415078700e-06,3.909210499842e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130645051599e-02,2.939790487289e-03,0.000000000000e+00,0.000000000000e+00,-4.122474789619e-02,5.269884690642e-02,0.000000000000e+00
1.147677539848e-03,1.084895757231e-05,1.561053795740e-05,1.512039204954e-08,3.473609976936e-04,9.244609832764e+00,6.320346557231e-08,0.000000000000e+00,3.455438671875e+04,4.552038955688e+01,7.543001174927e-01,7.130373734981e-03,1.025987695903e-02,9.937733921106e-06,2.282996922731e-01,4.760050354004e+02,9.010097045898e+02,9.010001831055e+02,8.979952812195e+00,1.790819936787e-07,3.909071892849e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130433455110e-02,2.939670579508e-03,0.000000000000e+00,0.000000000000e+00,-5.989104509354e-02,5.077295936644e-03,0.000000000000e+00
1.147677656263e-03,1.084914401872e-05,1.561047611176e-05,1.508965929986e-08,3.473608521745e-04,9.244609832764e+00,8.426049902255e-08,0.000000000000e+00,3.455438671875e+04,4.552040100098e+01,7.543001770973e-01,7.130495738238e-03,1.025983691216e-02,9.917534043780e-06,2.282995879650e-01,4.760066833496e+02,9.010128784180e+02,9.010002441406e+02,8.979936599731e+00,2.374345768885e-07,3.909081351594e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130447611213e-02,2.939678728580e-03,0.000000000000e+00,0.000000000000e+00,-5.999999865890e-02,0.000000000000e+00,0.000000000000e+00
1.147677772678e-03,1.084947416530e-05,1.561037061037e-05,1.503518731738e-08,3.473605902400e-04,9.244609832764e+00,3.627324645095e-07,0.000000000000e+00,3.455438671875e+04,4.552042007446e+01,7.543002367020e-01,7.130712270737e-03,1.025976613164e-02,9.881731784844e-06,2.282994091511e-01,4.760095825195e+02,9.010184936523e+02,9.010003662109e+02,8.979909896851e+00,3.411876718928e-07,3.909098086297e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130473315716e-02,2.939693164080e-03,0.000000000000e+00,0.000000000000e+00,-5.562167614698e-02,2.463431283832e-02,0.000000000000e+00
1.147677889094e-03,1.084963332687e-05,1.561031785968e-05,1.500902868656e-08,3.473604738247e-04,9.244609832764e+00,2.765604278920e-07,0.000000000000e+00,3.455438671875e+04,4.552042770386e+01,7.543002367020e-01,7.130817044526e-03,1.025973167270e-02,9.864539606497e-06,2.282993197441e-01,4.760109863281e+02,9.010211791992e+02,9.010004272461e+02,8.979896545410e+00,3.909289034709e-07,3.909106089850e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130485236645e-02,2.939700149000e-03,0.000000000000e+00,0.000000000000e+00,-5.724601447582e-02,1.535042840987e-02,0.000000000000e+00
1.147678005509e-03,1.084981249733e-05,1.561026147101e-05,1.497956603203e-08,3.473603283055e-04,9.244609832764e+00,6.102736165303e-07,0.000000000000e+00,3.455438671875e+04,4.552043914795e+01,7.543002963066e-01,7.130934856832e-03,1.025969348848e-02,9.845174645307e-06,2.282992303371e-01,4.760125732422e+02,9.010242309570e+02,9.010004882812e+02,8.979881286621e+00,4.475501782508e-07,3.909115184797e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130499392748e-02,2.939707832411e-03,0.000000000000e+00,0.000000000000e+00,-5.287984013557e-02,3.278219699860e-02,0.000000000000e+00
1.147678121924e-03,1.085002440959e-05,1.561019234941e-05,1.494501766786e-08,3.473601536825e-04,9.244609832764e+00,3.293968120488e-07,0.000000000000e+00,3.455438671875e+04,4.552045059204e+01,7.543003559113e-01,7.131073623896e-03,1.025964785367e-02,9.822468200582e-06,2.282991111279e-01,4.760144042969e+02,9.010277709961e+02,9.010005493164e+02,8.979864120483e+00,5.131535658620e-07,3.909125734936e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.130515411496e-02,2.939717145637e-03,0.000000000000e+00,0.000000000000e+00,-5.849014595151e-02,0.000000000000e+00,0.000000000000e+00
