"Mach","Points:0","Points:1","Points:2"
8.979522705078e+00,-3.497435245663e-03,2.399966865778e-02,0.000000000000e+00
8.979584693909e+00,-8.567898534238e-03,2.112703584135e-02,0.000000000000e+00
8.979486465454e+00,-6.619341205806e-03,1.981391943991e-02,0.000000000000e+00
8.979443550110e+00,-1.383179565892e-03,2.399598993361e-02,0.000000000000e+00
8.979481697083e+00,0.000000000000e+00,2.540443278849e-02,0.000000000000e+00
8.979559898376e+00,-1.210865750909e-02,0.000000000000e+00,0.000000000000e+00
8.979550361633e+00,-1.130392216146e-02,1.133253332227e-02,0.000000000000e+00
8.979945182800e+00,-2.073703706264e-02,3.355997614563e-03,0.000000000000e+00
8.979947090149e+00,-2.073213830590e-02,2.935921540484e-03,0.000000000000e+00
8.979947090149e+00,-2.072269283235e-02,2.515922067687e-03,0.000000000000e+00
8.979947090149e+00,-2.070878259838e-02,2.096049487591e-03,0.000000000000e+00
8.979947090149e+00,-2.069048583508e-02,1.676345127635e-03,0.000000000000e+00
8.979947090149e+00,-2.066788077354e-02,1.256848685443e-03,0.000000000000e+00
8.979947090149e+00,-2.064104750752e-02,8.376005571336e-04,0.000000000000e+00
8.979945182800e+00,-2.061006240547e-02,4.186424775980e-04,0.000000000000e+00
8.979872703552e+00,-2.057499997318e-02,0.000000000000e+00,0.000000000000e+00
8.979615211487e+00,-1.376845315099e-02,9.481267072260e-03,0.000000000000e+00
8.979784965515e+00,-2.041267789900e-02,8.382345549762e-03,0.000000000000e+00
8.979895591736e+00,-2.046840824187e-02,7.965956814587e-03,0.000000000000e+00
8.979901313782e+00,-2.051867730916e-02,7.548870053142e-03,0.000000000000e+00
8.979901313782e+00,-2.056355401874e-02,7.131172344089e-03,0.000000000000e+00
8.979893684387e+00,-2.060310728848e-02,6.712934002280e-03,0.000000000000e+00
8.979828834534e+00,-2.063741348684e-02,6.294234190136e-03,0.000000000000e+00
8.979871749878e+00,-2.073731273413e-02,3.776101861149e-03,0.000000000000e+00
8.979928970337e+00,-2.072367444634e-02,4.616184625775e-03,0.000000000000e+00
8.979928970337e+00,-2.070959843695e-02,5.036051385105e-03,0.000000000000e+00
8.979925155640e+00,-2.066654711962e-02,5.875142756850e-03,0.000000000000e+00
8.979928970337e+00,-2.069058269262e-02,5.455726291984e-03,0.000000000000e+00
8.979926109314e+00,-2.073288522661e-02,4.196182359010e-03,0.000000000000e+00
8.979559898376e+00,-1.212039217353e-02,0.000000000000e+00,0.000000000000e+00
8.979559898376e+00,-1.210449915379e-02,3.092376864515e-04,0.000000000000e+00
8.979509353638e+00,-8.526193909347e-03,1.738643646240e-02,0.000000000000e+00
8.979521751404e+00,-9.674866683781e-03,1.488190982491e-02,0.000000000000e+00
8.979516029358e+00,-9.904416278005e-03,1.309874188155e-02,0.000000000000e+00
8.979464530945e+00,-3.600302617997e-03,2.234986238182e-02,0.000000000000e+00
8.979447364807e+00,-4.329164512455e-03,2.115379832685e-02,0.000000000000e+00
8.979414939880e+00,-4.275656770915e-03,2.042318135500e-02,0.000000000000e+00
8.979443550110e+00,-6.022809073329e-03,1.892726123333e-02,0.000000000000e+00
8.979387283325e+00,-1.403178903274e-03,2.272821031511e-02,0.000000000000e+00
8.979397773743e+00,0.000000000000e+00,2.346804365516e-02,0.000000000000e+00
8.979558944702e+00,-1.209837291390e-02,0.000000000000e+00,0.000000000000e+00
8.979557991028e+00,-1.208922360092e-02,0.000000000000e+00,0.000000000000e+00
8.979558944702e+00,-1.209416985512e-02,2.681506739464e-04,0.000000000000e+00
8.979558944702e+00,-1.208725385368e-02,5.688238888979e-04,0.000000000000e+00
8.979560852051e+00,-1.213405746967e-02,0.000000000000e+00,0.000000000000e+00
8.979530334473e+00,-1.113702543080e-02,1.026275940239e-02,0.000000000000e+00
8.979574203491e+00,-1.258373633027e-02,7.826087996364e-03,0.000000000000e+00
8.979785919189e+00,-1.758923940361e-02,2.516763517633e-03,0.000000000000e+00
8.979693412781e+00,-1.705314591527e-02,0.000000000000e+00,0.000000000000e+00
8.979605674744e+00,-1.355201099068e-02,0.000000000000e+00,0.000000000000e+00
8.979655265808e+00,-1.474690530449e-02,6.934661883861e-03,0.000000000000e+00
8.979717254639e+00,-1.647422648966e-02,4.863297566772e-03,0.000000000000e+00
8.979604721069e+00,-1.300110761076e-02,1.193657284603e-03,0.000000000000e+00
8.979560852051e+00,-1.211593486369e-02,3.721731773112e-04,0.000000000000e+00
8.979559898376e+00,-1.209612749517e-02,6.532532861456e-04,0.000000000000e+00
8.979455947876e+00,-7.407407276332e-03,1.683222129941e-02,0.000000000000e+00
8.979464530945e+00,-8.327933028340e-03,1.495533622801e-02,0.000000000000e+00
8.979411125183e+00,-5.433714017272e-03,1.850939542055e-02,0.000000000000e+00
8.979482650757e+00,-9.204960428178e-03,1.290909666568e-02,0.000000000000e+00
8.979427337646e+00,-7.570033892989e-03,1.500013750046e-02,0.000000000000e+00
8.979392051697e+00,-2.411616966128e-03,2.172905765474e-02,0.000000000000e+00
8.979369163513e+00,-2.723510842770e-03,2.096768654883e-02,0.000000000000e+00
8.979384422302e+00,-4.027246497571e-03,1.984856091440e-02,0.000000000000e+00
8.979340553284e+00,-8.959955302998e-04,2.205291762948e-02,0.000000000000e+00
8.979344367981e+00,0.000000000000e+00,2.245739661157e-02,0.000000000000e+00
8.979558944702e+00,-1.208488456905e-02,2.441150863888e-04,0.000000000000e+00
8.979557991028e+00,-1.207732968032e-02,2.112244255841e-04,0.000000000000e+00
8.979557991028e+00,-1.208088919520e-02,0.000000000000e+00,0.000000000000e+00
8.979558944702e+00,-1.207680813968e-02,8.666995563544e-04,0.000000000000e+00
8.979558944702e+00,-1.207852084190e-02,5.176583654247e-04,0.000000000000e+00
8.979558944702e+00,-1.207054965198e-02,7.859363104217e-04,0.000000000000e+00
8.979561805725e+00,-1.215056236833e-02,0.000000000000e+00,0.000000000000e+00
8.979561805725e+00,-1.217158511281e-02,0.000000000000e+00,0.000000000000e+00
8.979560852051e+00,-1.212971657515e-02,4.417292657308e-04,0.000000000000e+00
8.979592323303e+00,-1.290113665164e-02,0.000000000000e+00,0.000000000000e+00
8.979497909546e+00,-1.045547053218e-02,1.051054894924e-02,0.000000000000e+00
8.979534149170e+00,-1.177601609379e-02,8.008677512407e-03,0.000000000000e+00
8.979583740234e+00,-1.291048247367e-02,5.976915359497e-03,0.000000000000e+00
8.979640007019e+00,-1.352625153959e-02,2.149141626433e-03,0.000000000000e+00
8.979617118835e+00,-1.327993255109e-02,4.297539126128e-03,0.000000000000e+00
8.979575157166e+00,-1.243288442492e-02,5.588741973042e-03,0.000000000000e+00
8.979603767395e+00,-1.273129787296e-02,2.506570890546e-03,0.000000000000e+00
8.979594230652e+00,-1.272927038372e-02,1.358894514851e-03,0.000000000000e+00
8.979560852051e+00,-1.210520882159e-02,7.751627708785e-04,0.000000000000e+00
8.979559898376e+00,-1.208234485239e-02,9.793909266591e-04,0.000000000000e+00
8.979558944702e+00,-1.206190139055e-02,1.143030705862e-03,0.000000000000e+00
8.979345321655e+00,-5.453074350953e-03,1.523107383400e-02,0.000000000000e+00
8.979339599609e+00,-5.186392460018e-03,1.548033114523e-02,0.000000000000e+00
8.979333877563e+00,-4.939297214150e-03,1.571454666555e-02,0.000000000000e+00
8.979411125183e+00,-6.004989612848e-03,1.719366200268e-02,0.000000000000e+00
8.979371070862e+00,-4.252457059920e-03,1.892222836614e-02,0.000000000000e+00
8.979465484619e+00,-8.978577330709e-03,1.244919188321e-02,0.000000000000e+00
8.979389190674e+00,-5.715262610465e-03,1.676001213491e-02,0.000000000000e+00
8.979422569275e+00,-7.560432888567e-03,1.439094357193e-02,0.000000000000e+00
8.979353904724e+00,-5.770315416157e-03,1.494809426367e-02,0.000000000000e+00
8.979340553284e+00,-5.108364392072e-03,1.567171327770e-02,0.000000000000e+00
8.979334831238e+00,-4.875372629613e-03,1.586412265897e-02,0.000000000000e+00
8.979330062866e+00,-4.653476178646e-03,1.605931855738e-02,0.000000000000e+00
8.979326248169e+00,-4.487925209105e-03,1.619707792997e-02,0.000000000000e+00
8.979333877563e+00,-1.244170707650e-03,2.144951932132e-02,0.000000000000e+00
8.979343414307e+00,-2.347017638385e-03,2.067969553173e-02,0.000000000000e+00
8.979348182678e+00,-3.158588195220e-03,1.993436738849e-02,0.000000000000e+00
8.979310989380e+00,0.000000000000e+00,2.177815325558e-02,0.000000000000e+00
8.979557991028e+00,-1.207039039582e-02,4.820644971915e-04,0.000000000000e+00
8.979557037354e+00,-1.206530351192e-02,4.121592210140e-04,0.000000000000e+00
8.979557037354e+00,-1.206982880831e-02,1.905559620354e-04,0.000000000000e+00
8.979557037354e+00,-1.207314152271e-02,0.000000000000e+00,0.000000000000e+00
8.979558944702e+00,-1.205671485513e-02,1.057005254552e-03,0.000000000000e+00
8.979557991028e+00,-1.206341944635e-02,7.265353342518e-04,0.000000000000e+00
8.979557991028e+00,-1.205428969115e-02,9.555092547089e-04,0.000000000000e+00
8.979563713074e+00,-1.220018882304e-02,0.000000000000e+00,0.000000000000e+00
8.979561805725e+00,-1.214876677841e-02,5.262282793410e-04,0.000000000000e+00
8.979561805725e+00,-1.211479213089e-02,9.093426633626e-04,0.000000000000e+00
8.979585647583e+00,-1.268817577511e-02,0.000000000000e+00,0.000000000000e+00
8.979587554932e+00,-1.258496474475e-02,1.506088068709e-03,0.000000000000e+00
8.979578018188e+00,-1.252337265760e-02,0.000000000000e+00,0.000000000000e+00
8.979462623596e+00,-9.034886024892e-03,1.184920873493e-02,0.000000000000e+00
8.979491233826e+00,-1.046535838395e-02,9.839643724263e-03,0.000000000000e+00
8.979534149170e+00,-1.161835901439e-02,7.611684501171e-03,0.000000000000e+00
8.979593276978e+00,-1.262862235308e-02,4.033263772726e-03,0.000000000000e+00
8.979585647583e+00,-1.235646288842e-02,4.095376003534e-03,0.000000000000e+00
8.979547500610e+00,-1.200775802135e-02,6.015247199684e-03,0.000000000000e+00
8.979589462280e+00,-1.247376762331e-02,2.886439440772e-03,0.000000000000e+00
8.979568481445e+00,-1.218866184354e-02,4.162014462054e-03,0.000000000000e+00
8.979560852051e+00,-1.208153460175e-02,1.170944073237e-03,0.000000000000e+00
8.979558944702e+00,-1.205047778785e-02,1.371904043481e-03,0.000000000000e+00
8.979557991028e+00,-1.204092521220e-02,1.303641241975e-03,0.000000000000e+00
8.979372978210e+00,-6.474839057773e-03,1.411772333086e-02,0.000000000000e+00
8.979360580444e+00,-6.029084324837e-03,1.457640063018e-02,0.000000000000e+00
8.979375839233e+00,-6.600251886994e-03,1.387762650847e-02,0.000000000000e+00
8.979351043701e+00,-5.709790624678e-03,1.488828100264e-02,0.000000000000e+00
8.979343414307e+00,-5.420140922070e-03,1.517877820879e-02,0.000000000000e+00
8.979329109192e+00,-4.738155752420e-03,1.589742489159e-02,0.000000000000e+00
