"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
1.003992795944e+00,9.170495867729e-01,1.239208318293e-02,0.000000000000e+00,2.950984001160e+00,1.012835860252e+00,1.008807897568e+00,7.686587572098e-01,2.865158021450e-02,1.953020572662e+00,0.000000000000e+00,0.000000000000e+00
1.004686951637e+00,9.155772328377e-01,1.226147729903e-02,0.000000000000e+00,2.952474355698e+00,1.014085531235e+00,1.009354829788e+00,7.666854858398e-01,3.144099190831e-02,1.898905873299e+00,0.000000000000e+00,0.000000000000e+00
1.004467487335e+00,9.125046133995e-01,1.189603377134e-02,0.000000000000e+00,2.951081514359e+00,1.014612197876e+00,1.010099530220e+00,7.639940381050e-01,3.261649608612e-02,1.848955035210e+00,0.000000000000e+00,0.000000000000e+00
1.005968570709e+00,9.123795628548e-01,1.184794586152e-02,0.000000000000e+00,2.955105066299e+00,1.016514658928e+00,1.010483503342e+00,7.626040577888e-01,3.686295077205e-02,1.802847862244e+00,0.000000000000e+00,0.000000000000e+00
1.005945444107e+00,9.108883738518e-01,1.136155519634e-02,0.000000000000e+00,2.954654693604e+00,1.016873478889e+00,1.010863423347e+00,7.612271308899e-01,3.766401112080e-02,1.760288238525e+00,0.000000000000e+00,0.000000000000e+00
1.007760405540e+00,9.133209586143e-01,1.163932401687e-02,0.000000000000e+00,2.960190534592e+00,1.018502950668e+00,1.010659933090e+00,7.619647383690e-01,4.130130261183e-02,1.721003174782e+00,0.000000000000e+00,0.000000000000e+00
1.008191466331e+00,9.116981625557e-01,1.136474404484e-02,0.000000000000e+00,2.960934638977e+00,1.019460201263e+00,1.011177301407e+00,7.600885033607e-01,4.343801736832e-02,1.684740543365e+00,0.000000000000e+00,0.000000000000e+00
1.007534980774e+00,9.088780283928e-01,1.107254996896e-02,0.000000000000e+00,2.958431005478e+00,1.019371747971e+00,1.011748313904e+00,7.580143809319e-01,4.324062168598e-02,1.651267647743e+00,0.000000000000e+00,0.000000000000e+00
1.009579658508e+00,9.081740379333e-01,1.097395271063e-02,0.000000000000e+00,2.963778734207e+00,1.022096872330e+00,1.012398362160e+00,7.556496262550e-01,4.932326450944e-02,1.620369672775e+00,0.000000000000e+00,0.000000000000e+00
1.011004805565e+00,9.113295078278e-01,1.108143012971e-02,0.000000000000e+00,2.968444347382e+00,1.023057222366e+00,1.011921167374e+00,7.573854327202e-01,5.146701633930e-02,1.591848373413e+00,0.000000000000e+00,0.000000000000e+00
1.012337327003e+00,9.113775491714e-01,1.080428157002e-02,0.000000000000e+00,2.972058534622e+00,1.024703025818e+00,1.012215137482e+00,7.563158273697e-01,5.514077097178e-02,1.565520763397e+00,0.000000000000e+00,0.000000000000e+00
1.012167930603e+00,9.110059142113e-01,1.079810038209e-02,0.000000000000e+00,2.971504926682e+00,1.024587988853e+00,1.012270808220e+00,7.561131119728e-01,5.488388240337e-02,1.541217923164e+00,0.000000000000e+00,0.000000000000e+00
1.012362480164e+00,9.071784615517e-01,1.086056232452e-02,0.000000000000e+00,2.971048593521e+00,1.025811553001e+00,1.013284921646e+00,7.524160146713e-01,5.761511251330e-02,1.518783807755e+00,0.000000000000e+00,0.000000000000e+00
1.013834476471e+00,9.080424904823e-01,1.010062918067e-02,0.000000000000e+00,2.975249767303e+00,1.027421832085e+00,1.013401985168e+00,7.519882917404e-01,6.120952963829e-02,1.498074412346e+00,0.000000000000e+00,0.000000000000e+00
1.014785170555e+00,9.089239835739e-01,1.035488117486e-02,0.000000000000e+00,2.978047847748e+00,1.028376698494e+00,1.013393640518e+00,7.520185112953e-01,6.334096938372e-02,1.478956937790e+00,0.000000000000e+00,0.000000000000e+00
1.013438820839e+00,9.039048552513e-01,9.799657389522e-03,0.000000000000e+00,2.973121404648e+00,1.027987718582e+00,1.014355897903e+00,7.484994530678e-01,6.247250735760e-02,1.461308717728e+00,0.000000000000e+00,0.000000000000e+00
1.015962123871e+00,9.053554534912e-01,1.032059919089e-02,0.000000000000e+00,2.980321407318e+00,1.030749559402e+00,1.014555096626e+00,7.477698922157e-01,6.863740086555e-02,1.445016503334e+00,0.000000000000e+00,0.000000000000e+00
1.017467141151e+00,9.084538817406e-01,1.061809156090e-02,0.000000000000e+00,2.985184669495e+00,1.031827569008e+00,1.014113903046e+00,7.493845820427e-01,7.104366272688e-02,1.429975628853e+00,0.000000000000e+00,0.000000000000e+00
1.017096877098e+00,9.057915806770e-01,1.049817167222e-02,0.000000000000e+00,2.983502864838e+00,1.032046079636e+00,1.014697909355e+00,7.472444772720e-01,7.153139263391e-02,1.416089773178e+00,0.000000000000e+00,0.000000000000e+00
1.017423272133e+00,9.051021337509e-01,9.666846133769e-03,0.000000000000e+00,2.984208106995e+00,1.032628655434e+00,1.014945030212e+00,7.463378310204e-01,7.283182442188e-02,1.403269648552e+00,0.000000000000e+00,0.000000000000e+00
1.018277406693e+00,9.023243784904e-01,9.818694554269e-03,0.000000000000e+00,2.985816478729e+00,1.034392595291e+00,1.015825986862e+00,7.431023120880e-01,7.676918804646e-02,1.391433000565e+00,0.000000000000e+00,0.000000000000e+00
1.019595146179e+00,9.081254601479e-01,9.925438091159e-03,0.000000000000e+00,2.990856170654e+00,1.034554719925e+00,1.014672040939e+00,7.473381757736e-01,7.713095098734e-02,1.380504012108e+00,0.000000000000e+00,0.000000000000e+00
1.018737077713e+00,9.002811312675e-01,1.037631556392e-02,0.000000000000e+00,2.986544370651e+00,1.035476803780e+00,1.016431927681e+00,7.408694624901e-01,7.918941974640e-02,1.370412468910e+00,0.000000000000e+00,0.000000000000e+00
1.021311402321e+00,9.055356979370e-01,1.072846166790e-02,0.000000000000e+00,2.994843244553e+00,1.037337899208e+00,1.015691995621e+00,7.435887455940e-01,8.334360271692e-02,1.361093640327e+00,0.000000000000e+00,0.000000000000e+00
