"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
6617, 6.465220754821796e+00, 4.435113136314273e-01, 9.909332624869478e-01, 1.739584138700826e+00, 4.002484917899817e-05, 4.028396127197169e+00, 1.000590179839758e+00, 1.009745275205088e+00, 1.476492006329487e+00, 3.747173585766903e-04
6618, 8.461987064330891e+00, 4.961289820460711e-01, 9.917777349430608e-01, 1.742963775726537e+00, -5.701514661019697e-05, 4.032781205704411e+00, 1.000490799073672e+00, 1.008785299189149e+00, 1.478804001008521e+00, 3.116184594742853e-04
6619, 1.085958608633112e+01, 5.412919718567505e-01, 9.922126820311439e-01, 1.744779298559390e+00, 3.648469454261752e-05, 4.035077749759197e+00, 1.000401611560376e+00, 1.008253199820495e+00, 1.480085840392730e+00, 2.549914669056737e-04
6620, 1.305394632934204e+01, 5.552679298376365e-01, 9.924940231298162e-01, 1.746117662830891e+00, 3.900149319681474e-05, 4.036645854335492e+00, 1.000261313053584e+00, 1.007826031938484e+00, 1.481115073010601e+00, 1.659130498947515e-04
6621, 5.620985438161365e+00, 5.086384601162479e-01, 9.922844227038680e-01, 1.744114552525518e+00, 3.398172479214060e-04, 4.034972242566570e+00, 1.000871202501483e+00, 1.008653546907667e+00, 1.479121372644000e+00, 5.531444453860204e-04
6622, 1.634214597535705e+01, 6.163704977918883e-01, 9.930429451265917e-01, 1.748142938834908e+00, -3.316252320897146e-05, 4.039411171786456e+00, 1.000281774699063e+00, 1.007289543325388e+00, 1.482407929468539e+00, 1.789045708337128e-04
6623, 1.708700506530084e+01, 7.411324584090465e-01, 9.942891901003879e-01, 1.752863216547279e+00, -3.958497935165054e-05, 4.045752152682808e+00, 1.000265487042510e+00, 1.006010622464394e+00, 1.485490944816188e+00, 1.685632015934068e-04
6624, 3.750152308404281e+00, 2.247033732684896e+00, 8.619809331132900e-01, 1.619615238766870e+00, -1.167930108588891e-01, 3.561679963476089e+00, 8.128732720458566e-01, 9.430292954508088e-01, 1.639509139747404e+00, -1.188106209232657e-01
6625, 4.033572790339216e+00, 2.464516054838473e+00, 8.633809350113474e-01, 1.621062461541468e+00, -1.159925946174166e-01, 3.566791547606857e+00, 8.148666976195298e-01, 9.438090008425076e-01, 1.637571057665046e+00, -1.175449538923621e-01
6626, 6.719398277197634e+00, 4.805498968172546e+00, 9.191431185051481e-01, 1.688190628397679e+00, -6.976837877701708e-02, 3.775607576997244e+00, 8.890437492049866e-01, 9.672527937225777e-01, 1.579700990008235e+00, -7.044841320318312e-02
6627, 7.097049441156257e+00, 5.185391453385001e+00, 9.254256555683922e-01, 1.694243939784152e+00, -6.399599996973115e-02, 3.798410988486066e+00, 8.981242129527777e-01, 9.704985025524864e-01, 1.571746678200768e+00, -6.468303939506183e-02
6628, 7.732898195134392e+00, 5.868283076088892e+00, 9.386020598923726e-01, 1.709918714659382e+00, -5.341157814192136e-02, 3.847878325957949e+00, 9.155271274365979e-01, 9.754156383820204e-01, 1.559720774398265e+00, -5.363356988152516e-02
6629, 7.499765798729713e+00, 5.562497932116400e+00, 9.296509274465289e-01, 1.699030319392639e+00, -6.061646785074969e-02, 3.814141859337790e+00, 9.038365966119045e-01, 9.722322324729686e-01, 1.567503134267145e+00, -6.105612913529875e-02
6630, 8.057236109180602e+00, 6.142871623964051e+00, 9.414839533435132e-01, 1.714098678850958e+00, -5.134705396476130e-02, 3.859100547011904e+00, 9.189305165637763e-01, 9.760447995957422e-01, 1.558184115449035e+00, -5.147268789601505e-02
6631, 8.388646201134295e+00, 6.424572976180725e+00, 9.433611627510690e-01, 1.716455579464631e+00, -5.019802039895948e-02, 3.866224237757925e+00, 9.213336649507308e-01, 9.766499844703160e-01, 1.556706455932760e+00, -4.994687939636144e-02
6632, 6.550712434672423e+00, 4.600589020509642e+00, 9.135451368356334e-01, 1.682039118654125e+00, -7.455153245125927e-02, 3.754899809576138e+00, 8.813417598516302e-01, 9.647490028839184e-01, 1.585846146454012e+00, -7.533856517356816e-02
6633, 4.706619176011780e+00, 3.024060706025995e+00, 8.860298256413790e-01, 1.647882664646985e+00, -9.713811237875983e-02, 3.651210159515998e+00, 8.453912056516482e-01, 9.541340270793780e-01, 1.611990446858767e+00, -9.816431387196947e-02
6634, 4.527229876155755e+00, 2.855216099811203e+00, 8.765182368528323e-01, 1.636460471330605e+00, -1.049825237700114e-01, 3.615642524627517e+00, 8.326875274453155e-01, 9.499945265658221e-01, 1.622227763636873e+00, -1.062301413045616e-01
6635, 4.374954205518001e+00, 2.713413601370145e+00, 8.645259589742167e-01, 1.622109284570456e+00, -1.148862698087050e-01, 3.570882224186142e+00, 8.165870176078893e-01, 9.445488699689155e-01, 1.635732835312205e+00, -1.164526872330862e-01
6636, 5.067175318821283e+00, 3.312567839244769e+00, 8.915856440336779e-01, 1.655027243332152e+00, -9.371132292792606e-02, 3.672288486156829e+00, 8.525086574083762e-01, 9.561713595471198e-01, 1.606960766332341e+00, -9.364529688357069e-02
6637, 5.471976506177835e+00, 3.648876057272119e+00, 8.985724836461152e-01, 1.663674120070221e+00, -8.871215811005918e-02, 3.698609540349855e+00, 8.616458142413852e-01, 9.589051856396787e-01, 1.600220547763218e+00, -8.784392746578722e-02
6638, 5.919889120216588e+00, 4.011230763504252e+00, 9.034864015703019e-01, 1.669582817181118e+00, -8.345832814930396e-02, 3.716993551692278e+00, 8.681999362860028e-01, 9.609441102567016e-01, 1.595200159128255e+00, -8.368258013587129e-02
6639, 6.386290038933891e+00, 4.406066622613815e+00, 9.087045513019216e-01, 1.676246796243609e+00, -7.859495064583075e-02, 3.736753362436689e+00, 8.749222354391359e-01, 9.628236528425164e-01, 1.590577095304056e+00, -7.941445368943753e-02
