"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          35,      -6.212560248,      -6.209449561,      -5.732560208,      -5.767115817,      -5.654035009,     0.01108206036,      0.2888149856,     0.01615382891,      0.1868552204,    -0.09587275585,     0.01975848056,   -0.004351172606,     0.01615382891,      0.2889947668,       26.06148822
          0,           0,          36,      -6.232218022,      -6.224028038,      -5.740678938,      -5.775976362,      -5.673055376,     0.01108277084,      0.2888154549,     0.01615301921,      0.1868553118,    -0.09587492019,     0.01975766561,   -0.004350488191,     0.01615301921,      0.2889952734,       26.05985985
          0,           0,          37,      -6.251378795,      -6.238091776,      -5.748704361,      -5.784681629,      -5.691520781,     0.01108347869,      0.2888164445,     0.01615228427,      0.1868558394,    -0.09587738426,     0.01975691264,   -0.004349834186,     0.01615228427,      0.2889962994,       26.05828483
          0,           0,          38,      -6.269983642,      -6.251613477,      -5.756647381,      -5.793239811,      -5.709389293,     0.01108416195,      0.2888178498,      0.0161516272,      0.1868566981,    -0.09588006212,     0.01975623067,    -0.00434922691,      0.0161516272,      0.2889977392,       26.05680529
          0,           0,          39,       -6.28799029,      -6.264588873,      -5.764518084,      -5.801657416,      -5.726636356,     0.01108480214,      0.2888195673,     0.01615104816,      0.1868577807,    -0.09588286788,     0.01975562392,   -0.004348679317,     0.01615104816,      0.2889994883,       26.05545536
          0,           0,          40,      -6.305370887,      -6.277037662,      -5.772325587,      -5.809939307,      -5.743251907,     0.01108538566,      0.2888215074,     0.01615054493,      0.1868589916,    -0.09588572383,     0.01975509259,   -0.004348200198,     0.01615054493,      0.2890014568,       26.05425885
          0,           0,          41,      -6.322117154,      -6.289004418,      -5.780078732,      -5.818089939,      -5.759245733,     0.01108590469,      0.2888236029,      0.0161501128,      0.1868602566,    -0.09588856761,     0.01975463267,   -0.004347793765,      0.0161501128,      0.2890035771,       26.05322803
          0,           0,          42,      -6.338237908,      -6.300548373,      -5.787785404,       -5.82611361,       -5.77464284,     0.01108635647,       0.288825808,     0.01614974557,      0.1868615239,    -0.09589135254,     0.01975423772,   -0.004347460345,     0.01614974557,      0.2890058031,       26.05236525
          0,           0,          43,      -6.353760741,      -6.311735276,      -5.795452417,      -5.834014972,      -5.789483601,     0.01108674212,      0.2888280953,     0.01614943602,      0.1868627638,    -0.09589404746,     0.01975389985,   -0.004347197339,     0.01614943602,      0.2890081078,       26.05166532
          0,           0,          44,      -6.368729928,      -6.322628339,      -5.803085314,      -5.841799173,      -5.803819803,     0.01108706541,      0.2888304521,     0.01614917645,      0.1868639667,    -0.09589663532,     0.01975361068,   -0.004347000329,     0.01614917645,      0.2890104785,       26.05111827
