"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
1487, 1.010831858391893e+00, 1.500155771166731e+00, 1.023225599206335e-02, 8.636581072736002e-01, 8.770599000019499e-01, -7.801826888446721e-02, 2.579302222570805e-01, 2.636026899934126e+00, 8.594611819091776e-01, 9.818696788195735e-01, 9.000549007734006e-01, -3.081094226245214e-01
1488, 9.063089900510382e-01, 1.489899709506191e+00, 1.324763283419386e-02, 8.337254549337916e-01, 9.128816189654616e-01, -5.108503123917577e-02, 2.324070355411189e-01, 2.562739430352400e+00, 8.116020961199016e-01, 9.604826743479633e-01, 9.692636189042174e-01, -4.038275942030734e-01
1489, -3.839830930330351e+00, 0.000000000000000e+00, -2.595219375137106e+00, 1.000562285717742e+00, 9.990727745078140e-01, 6.088583705433660e-05, 5.266514675479823e-02, 3.035466327126477e+00, 1.014115022171942e+00, 1.000028837244002e+00, 8.394020003779800e-01, 1.198257901006805e-03
1490, 1.177308763087946e+00, 1.498706857941173e+00, 7.960888582203739e-03, 8.965033865287232e-01, 8.932304742053020e-01, -1.227696860102952e-01, 2.548410502918468e-01, 2.731619729522862e+00, 8.968032246372553e-01, 9.869943426993090e-01, 8.831374035904661e-01, -2.334253371683661e-01
1491, 1.054746822358885e+00, 1.495933435813503e+00, 1.864287775906597e-02, 8.660416949871216e-01, 9.485544829642802e-01, -1.185177679356978e-01, 1.725395823574366e-01, 2.659314115018985e+00, 8.458211313843798e-01, 9.636274577126958e-01, 9.592125072068590e-01, -3.353895236741172e-01
1492, 9.106157283302762e-01, 1.484680302144260e+00, 1.806322503674931e-02, 8.095573167149669e-01, 8.885089152284119e-01, -1.128245890370579e-01, 1.662765283865049e-01, 2.486809206313941e+00, 7.897164898066480e-01, 9.624829409993433e-01, 9.628750433291637e-01, -4.475988068295807e-01
1493, 8.704760252935014e-01, 2.741272335663352e-01, -2.347577589488751e-02, 9.673253835820401e-01, 9.779175319703763e-01, 1.181004093531210e-02, 8.616011653985914e-02, 2.938821599384453e+00, 9.762398051085481e-01, 9.957569904603465e-01, 8.538551699567790e-01, -7.455217622578038e-02
1494, 9.817883469340645e-01, 1.493798399456848e+00, 1.772855513044471e-02, 8.409687816046904e-01, 9.090826066192144e-01, -1.287050711554681e-01, 1.930163398568267e-01, 2.580714088382206e+00, 8.229433844382175e-01, 9.655161014944927e-01, 9.531570180888478e-01, -3.811450175664418e-01
1495, 1.196076715059537e+00, 1.484865192997225e+00, 2.060034013119274e-02, 9.165486014416047e-01, 9.319684160555691e-01, -2.075775121970304e-01, 5.969127304200345e-02, 2.792329582779247e+00, 9.172224890064542e-01, 9.873897898022098e-01, 8.818258583219548e-01, -1.925868084299683e-01
1496, 1.387074580254301e+00, 1.468742311471184e+00, -3.161424731891903e-03, 9.991949697845267e-01, 9.327424854144599e-01, 2.210938685555464e-01, 1.122389326175381e-01, 3.021782154901790e+00, 1.022265041670748e+00, 1.009445106679530e+00, 8.070824149639981e-01, 1.749829689861971e-02
1497, 1.108118855114520e+00, 1.487764940095234e+00, 2.417081491838012e-02, 8.973638606294239e-01, 9.632090896504238e-01, -2.254408361668616e-01, 1.066498478665970e-01, 2.751817862496211e+00, 8.800876576109709e-01, 9.676689186376164e-01, 9.462363748480435e-01, -2.668564712209350e-01
